TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133348.3058,-4597.43,19275.81,8202.6,34667.11,30810.17,22855.81
1133348.3078,-4591.08,19246.87,8088.3,34652.9,30750.8,22806.6
1133348.3098,-4582.02,19216.97,7962.8,34634.07,30684.52,22762.44
1133348.3118,-4579.78,19246.53,8001.23,34652.28,30704.55,22785.14
1133348.3138,-4593.56,19287.97,8129.41,34671.88,30768.35,22831.4
1133348.3158,-4601.91,19308.28,8220.58,34679.46,30808.12,22861.77
1133348.3178,-4611.83,19338.18,8341.12,34701.21,30875.92,22916.22
1133348.3198,-4626.7,19326.4,8350.85,34693.58,30885.65,22918.75
1133348.3218,-4628.66,19290.26,8246.38,34671.93,30829.24,22875.31
1133348.3238,-4601.53,19265.08,8135.61,34659.2,30771.16,22827.77
1133348.3258,-4570.34,19239.62,8014.16,34649.9,30713.42,22787.76
1133348.3278,-4556.8,19247.44,7980.87,34659.44,30698.97,22786.1
1133348.3298,-4566.77,19297.75,8114.24,34688.72,30767.25,22839.74
1133348.3318,-4575.44,19322.54,8211.47,34695.68,30808.26,22867.49
1133348.3338,-4589.32,19345.48,8316.66,34709.03,30862.29,22905.83
1133348.3358,-4604.05,19352.44,8382.46,34712.94,30902.77,22931.39
1133348.3378,-4593.61,19320.68,8303.31,34693.63,30864.53,22901.16
1133348.3398,-4572.87,19287.35,8182.62,34675.7,30799.54,22849.94
1133348.3418,-4569.01,19258.41,8072.14,34657.15,30741.6,22802.88
1133348.3438,-4555.89,19243.53,7968.62,34653.81,30692.01,22772.36
1133348.3458,-4562.71,19289.07,8074.43,34682.85,30748.42,22817.42
1133348.3478,-4566.53,19321.11,8184.72,34695.3,30800.58,22852.81
1133348.3498,-4579.31,19341.23,8282.61,34705.12,30846.74,22887.18
1133348.3518,-4597.76,19356.16,8374.41,34711.94,30896.95,22920.85
1133348.3538,-4604.67,19330.07,8338.36,34695.53,30879.22,22903.73
1133348.3558,-4597.95,19290.97,8214.57,34675.32,30814.32,22853.38
1133348.3578,-4583.55,19268.85,8120.39,34665.87,30769.59,22820.52
1133348.3598,-4553.8,19243.19,7985.02,34655.58,30705.12,22783.76
1133348.3618,-4557.13,19271.23,8031.51,34676.7,30734.16,22811.32
1133348.3638,-4569.15,19307.09,8152.49,34696.11,30795.53,22853.28
1133348.3658,-4585.36,19330.41,8247.9,34706.17,30838.02,22888.38
1133348.3678,-4602.72,19349.34,8347.66,34716.99,30888.28,22923.76
1133348.3698,-4611.83,19346.38,8375.31,34714.27,30908.06,22936.16
1133348.3718,-4609.44,19304.99,8260.44,34690.81,30848.65,22887.85
1133348.3738,-4588.08,19280.82,8160.5,34678.03,30797.53,22849.13
1133348.3758,-4562.86,19250.78,8024.12,34660.72,30728.44,22803.88
1133348.3778,-4560.76,19259.5,7994.84,34670.07,30715.37,22800.07
1133348.3798,-4565.29,19301.56,8116.77,34698.49,30778.08,22847.8
1133348.3818,-4571.2,19329.93,8224.77,34711.17,30830.2,22885.09
1133348.3838,-4588.13,19351.15,8324.34,34721.28,30879.41,22919.61
1133348.3858,-4603.96,19359.78,8398.44,34724.81,30920.03,22948.7
1133348.3878,-4593.33,19322.78,8313.51,34703.78,30880.07,22913.65
1133348.3898,-4577.07,19290.54,8201.98,34689.57,30823.43,22868.97
1133348.3918,-4570.2,19261.51,8079.77,34671.55,30758.91,22821.81
