TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133018.3755,-1862.81,25762.61,12428.48,42115.79,40395.07,30296.76
1133018.3775,-1870.92,25818.97,12666.47,42143.83,40472.42,30349.02
1133018.3795,-1883.7,25849.49,12848.9,42155.18,40526.92,30382.83
1133018.3815,-1886.8,25893.41,13060.43,42180.45,40606.65,30436.52
1133018.3835,-1910.83,25884.11,13161.76,42161.8,40632.78,30441.96
1133018.3855,-1911.93,25831.61,12997.3,42130.33,40570.17,30394.13
1133018.3875,-1888.56,25793.7,12790.25,42118.94,40500.22,30344.06
1133018.3895,-1876.88,25756.74,12582.69,42102.44,40426.07,30296.0
1133018.3915,-1855.47,25744.87,12401.63,42100.82,40368.47,30272.63
1133018.3935,-1860.38,25808.77,12597.37,42135.77,40440.8,30329.18
1133018.3955,-1877.55,25840.19,12800.36,42146.02,40504.84,30367.09
1133018.3975,-1895.43,25864.51,12968.73,42154.03,40558.3,30398.47
1133018.3995,-1909.83,25889.3,13154.08,42166.67,40625.86,30439.19
1133018.4015,-1900.53,25863.32,13084.94,42151.31,40605.41,30420.26
1133018.4035,-1904.44,25805.43,12851.38,42120.13,40519.58,30355.74
1133018.4055,-1901.1,25780.11,12666.18,42112.31,40457.06,30312.92
1133018.4075,-1877.26,25759.27,12440.83,42112.12,40393.6,30287.94
1133018.4095,-1876.45,25792.74,12521.27,42137.01,40425.64,30321.17
1133018.4115,-1888.37,25840.95,12755.97,42157.18,40501.6,30367.09
1133018.4135,-1898.24,25861.46,12922.81,42160.23,40550.24,30393.65
1133018.4155,-1896.72,25884.73,13113.64,42171.63,40618.19,30432.32
1133018.4175,-1905.54,25866.18,13139.44,42160.95,40629.39,30430.37
1133018.4195,-1906.68,25813.15,12924.86,42130.43,40553.1,30376.68
1133018.4215,-1887.66,25785.69,12739.33,42122.51,40488.58,30338.48
1133018.4235,-1868.87,25743.87,12505.1,42104.2,40407.85,30293.9
1133018.4255,-1852.94,25756.03,12440.35,42114.93,40389.92,30296.42
1133018.4275,-1870.73,25810.91,12676.34,42137.48,40466.65,30345.11
1133018.4295,-1877.07,25855.97,12870.12,42161.09,40538.94,30390.41
1133018.4315,-1892.38,25882.29,13046.79,42168.57,40597.78,30426.46
1133018.4335,-1901.87,25887.78,13163.23,42169.67,40638.88,30445.01
1133018.4355,-1879.93,25856.35,13031.63,42159.71,40600.26,30417.49
1133018.4375,-1888.85,25798.23,12803.13,42126.42,40506.61,30346.97
1133018.4395,-1884.17,25755.36,12583.35,42103.58,40426.78,30292.99
1133018.4415,-1856.61,25744.87,12398.05,42107.21,40371.66,30277.16
1133018.4435,-1864.81,25809.24,12607.05,42147.55,40450.58,30340.34
1133018.4455,-1881.79,25848.77,12811.71,42163.66,40515.86,30380.59
1133018.4475,-1899.1,25864.94,12983.13,42167.48,40568.45,30407.81
1133018.4495,-1918.36,25883.3,13148.83,42169.53,40622.48,30435.09
1133018.4515,-1929.62,25850.78,13084.46,42148.21,40599.78,30412.34
1133018.4535,-1911.83,25811.63,12857.77,42132.43,40527.25,30359.51
1133018.4555,-1889.66,25792.46,12686.49,42130.57,40475.47,30329.9
1133018.4575,-1873.11,25743.63,12412.84,42107.4,40378.1,30280.26
1133018.4595,-1862.96,25784.83,12510.44,42140.3,40422.16,30323.51
1133018.4615,-1870.01,25833.56,12731.41,42160.8,40491.63,30369.62
1133018.4635,-1883.75,25861.12,12917.23,42162.38,40543.75,30402.47
1133018.4655,-1911.35,25884.06,13092.9,42168.48,40601.78,30430.42
1133018.4675,-1926.95,25880.63,13146.69,42167.48,40626.34,30435.33
1133018.4695,-1914.55,25829.56,12928.34,42141.35,40549.19,30381.64
1133018.4715,-1883.32,25802.38,12759.02,42134.81,40492.4,30342.15
1133018.4735,-1859.95,25760.13,12498.28,42115.22,40404.52,30289.37
1133018.4755,-1858.0,25775.77,12446.69,42129.66,40396.03,30295.66
1133018.4775,-1881.36,25819.5,12656.93,42145.78,40459.11,30331.57
1133018.4795,-1905.49,25847.1,12857.06,42150.55,40515.48,30368.0
1133018.4815,-1912.21,25874.0,13019.71,42167.33,40574.7,30407.1
1133018.4835,-1915.26,25890.21,13173.06,42176.44,40631.92,30439.76
1133018.4855,-1894.28,25847.49,13007.59,42155.22,40576.18,30398.8
1133018.4875,-1884.08,25812.58,12810.04,42136.86,40506.8,30347.73
1133018.4895,-1872.83,25783.35,12590.98,42127.38,40435.03,30304.05
1133018.4915,-1863.86,25764.75,12413.93,42124.32,40381.15,30285.31
1133018.4935,-1879.02,25813.01,12578.11,42148.02,40434.51,30324.65
1133018.4955,-1882.08,25866.42,12817.34,42170.82,40514.43,30381.83
1133018.4975,-1885.03,25882.39,12957.57,42172.39,40557.06,30408.34
1133018.4995,-1898.34,25912.81,13164.57,42186.74,40631.25,30450.25
1133018.5015,-1906.49,25869.42,13074.16,42159.51,40597.25,30417.26
1133018.5035,-1892.04,25836.71,12877.51,42150.07,40536.36,30376.87
1133018.5055,-1884.51,25797.89,12672.24,42133.77,40464.93,30329.85
1133018.5075,-1866.48,25760.46,12437.49,42120.56,40388.21,30290.8
1133018.5095,-1859.38,25796.51,12499.24,42142.83,40413.77,30317.64
1133018.5115,-1871.73,25845.82,12748.67,42158.04,40489.49,30364.66
1133018.5135,-1890.71,25858.93,12888.81,42155.08,40530.73,30384.31
1133018.5155,-1912.5,25888.64,13092.04,42168.91,40602.4,30428.22
1133018.5175,-1923.75,25880.72,13129.43,42165.76,40619.52,30430.61
1133018.5195,-1904.82,25846.01,12945.13,42156.03,40564.35,30397.23
1133018.5215,-1884.89,25815.2,12745.24,42147.93,40501.5,30357.17
1133018.5235,-1882.12,25769.19,12509.4,42125.75,40417.1,30309.11
1133018.5255,-1875.97,25777.15,12428.67,42132.0,40389.59,30306.15
1133018.5275,-1888.7,25829.27,12658.69,42155.56,40465.17,30353.98
1133018.5295,-1894.47,25862.89,12845.28,42165.48,40521.67,30389.31
1133018.5315,-1909.11,25887.16,13030.82,42170.86,40579.47,30420.31
1133018.5335,-1912.88,25901.75,13163.62,42175.35,40631.35,30449.2
1133018.5355,-1907.92,25856.07,13011.22,42151.17,40581.18,30412.25
1133018.5375,-1905.01,25802.33,12784.91,42120.13,40495.21,30350.59
1133018.5395,-1891.47,25776.34,12588.93,42115.17,40432.93,30315.07
1133018.5415,-1858.62,25768.43,12409.12,42125.71,40384.68,30303.15
1133018.5435,-1867.44,25826.5,12588.55,42161.28,40450.24,30350.12
1133018.5455,-1883.22,25860.55,12797.21,42169.39,40511.8,30384.12
1133018.5475,-1906.11,25873.62,12957.29,42165.0,40555.53,30404.86
1133018.5495,-1922.46,25899.41,13150.07,42177.25,40627.77,30448.82
1133018.5515,-1910.31,25877.86,13092.57,42166.67,40613.08,30433.23
1133018.5535,-1907.02,25821.64,12860.44,42136.82,40527.16,30373.29
1133018.5555,-1894.28,25793.27,12670.8,42129.76,40465.88,30334.19
1133018.5575,-1861.33,25773.19,12442.45,42129.09,40400.22,30306.82
1133018.5595,-1860.62,25806.48,12504.05,42148.4,40423.64,30329.9
1133018.5615,-1882.7,25850.16,12736.08,42163.52,40494.11,30372.96
1133018.5635,-1894.9,25880.63,12914.09,42174.25,40549.66,30409.05
1133018.5655,-1918.13,25901.99,13100.29,42180.21,40609.79,30443.48
1133018.5675,-1926.61,25887.25,13132.86,42165.71,40615.13,30437.28
1133018.5695,-1909.97,25829.99,12930.63,42139.68,40544.71,30384.16
1133018.5715,-1898.15,25781.11,12731.74,42120.65,40471.08,30331.42
1133018.5735,-1878.5,25740.44,12507.92,42104.3,40394.26,30284.31
1133018.5755,-1866.44,25737.91,12421.47,42113.64,40367.37,30278.3
1133018.5775,-1876.35,25788.69,12659.12,42144.02,40449.53,30333.0
1133018.5795,-1884.56,25822.59,12852.15,42157.85,40514.86,30374.05
1133018.5815,-1900.05,25845.1,13025.91,42169.48,40576.84,30413.3
1133018.5835,-1909.97,25862.6,13154.41,42179.64,40627.48,30445.05
1133018.5855,-1917.22,25814.44,13013.22,42148.17,40571.12,30402.62
1133018.5875,-1909.3,25769.28,12798.6,42129.38,40494.49,30347.64
1133018.5895,-1886.89,25745.35,12605.57,42122.27,40434.41,30308.35
1133018.5915,-1868.06,25731.14,12400.77,42119.89,40371.18,30280.12
1133018.5935,-1871.3,25784.45,12592.27,42152.79,40443.76,30333.38
1133018.5955,-1880.17,25827.27,12803.27,42172.1,40514.14,30379.44
1133018.5975,-1908.02,25841.29,12972.02,42166.95,40558.01,30405.33
1133018.5995,-1922.61,25858.83,13140.78,42172.68,40613.13,30433.32
1133018.6015,-1920.56,25832.18,13098.29,42160.18,40599.16,30419.02
1133018.6035,-1909.97,25785.26,12872.32,42137.2,40519.05,30362.28
1133018.6055,-1886.32,25760.37,12696.36,42125.42,40460.31,30320.65
1133018.6075,-1859.71,25718.02,12433.63,42111.12,40371.71,30270.34
1133018.6095,-1853.66,25758.41,12511.21,42140.39,40406.99,30305.39
1133018.6115,-1857.38,25821.12,12741.47,42177.01,40493.4,30364.66
1133018.6135,-1876.07,25852.78,12937.12,42186.5,40553.62,30403.28
1133018.6155,-1904.92,25858.45,13094.71,42178.45,40597.4,30421.69
1133018.6175,-1914.02,25856.16,13160.99,42177.83,40626.15,30433.13
1133018.6195,-1907.73,25807.57,12951.85,42154.56,40553.15,30380.92
1133018.6215,-1904.49,25780.11,12774.61,42140.97,40491.3,30337.0
1133018.6235,-1888.61,25740.15,12514.45,42123.23,40406.33,30288.41
1133018.6254,-1866.82,25752.69,12449.22,42137.1,40391.97,30292.42
1133018.6274,-1853.56,25810.77,12673.62,42174.25,40472.89,30348.78
1133018.6294,-1869.96,25837.85,12880.47,42183.02,40534.69,30387.31
1133018.6314,-1892.14,25849.63,13028.67,42180.02,40577.99,30410.77
1133018.6334,-1901.15,25865.65,13191.22,42184.5,40636.97,30444.24
