TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133267.1311,-4041.48,20670.85,9220.41,36190.47,32646.61,24290.33
1133267.1331,-4022.22,20682.0,9175.87,36201.2,32623.44,24284.32
1133267.1351,-4034.76,20723.2,9303.24,36225.13,32687.38,24332.34
1133267.1371,-4050.45,20755.53,9440.8,36237.48,32748.23,24375.01
1133267.1391,-4061.6,20771.55,9541.61,36247.88,32795.72,24409.68
1133267.1411,-4071.52,20783.71,9628.73,36260.47,32856.37,24459.27
1133267.1431,-4061.75,20749.81,9541.46,36244.25,32815.79,24427.61
1133267.1451,-4057.65,20710.38,9408.95,36221.79,32747.08,24373.11
1133267.1471,-4045.11,20683.2,9277.92,36206.3,32680.37,24319.37
1133267.1491,-4034.76,20665.98,9162.09,36198.1,32618.24,24278.31
1133267.1511,-4048.11,20701.84,9247.49,36219.89,32662.4,24314.31
1133267.1531,-4061.32,20743.9,9397.56,36242.49,32734.3,24366.52
1133267.1551,-4062.27,20764.97,9503.6,36252.07,32778.22,24397.33
1133267.1571,-4073.48,20781.19,9612.7,36263.52,32841.26,24446.44
1133267.1591,-4072.71,20757.77,9577.66,36249.36,32830.19,24434.0
1133267.1611,-4056.98,20723.54,9454.63,36231.57,32769.87,24388.03
1133267.1631,-4046.35,20697.41,9333.37,36218.27,32708.7,24341.73
1133267.1651,-4025.75,20682.62,9200.19,36214.26,32645.04,24298.72
1133267.1671,-4020.64,20702.7,9218.65,36229.81,32649.9,24308.21
1133267.1691,-4035.04,20741.66,9366.08,36252.46,32720.57,24360.23
1133267.1711,-4045.92,20764.26,9475.85,36258.89,32767.92,24393.28
1133267.1731,-4056.41,20790.53,9595.11,36276.01,32832.1,24447.73
1133267.1751,-4062.7,20784.09,9626.06,36268.0,32855.42,24465.04
1133267.1771,-4059.08,20741.42,9505.46,36239.1,32792.0,24411.73
1133267.1791,-4048.3,20714.48,9377.1,36224.75,32730.2,24361.76
1133267.1811,-4029.85,20690.49,9246.16,36216.17,32663.78,24315.5
1133267.1831,-4024.51,20692.3,9188.32,36221.84,32632.55,24299.15
1133267.1851,-4038.91,20739.46,9319.69,36246.73,32698.59,24352.12
1133267.1871,-4045.44,20767.88,9451.44,36258.46,32753.85,24394.94
1133267.1891,-4060.32,20785.57,9561.44,36265.0,32804.97,24429.71
1133267.1911,-4074.29,20796.73,9643.7,36272.58,32860.33,24466.28
1133267.1931,-4074.76,20764.26,9562.16,36254.7,32822.66,24431.28
1133267.1951,-4055.31,20722.3,9421.68,36230.52,32750.23,24372.53
1133267.1971,-4032.8,20695.4,9291.7,36211.3,32681.56,24320.08
1133267.1991,-4012.59,20683.0,9180.79,36205.92,32621.77,24280.69
1133267.2011,-4037.81,20710.33,9258.03,36223.03,32656.44,24314.84
1133267.2031,-4049.87,20754.67,9402.85,36247.78,32732.63,24366.48
1133267.2051,-4056.55,20773.84,9513.43,36254.7,32778.36,24397.61
1133267.2071,-4063.8,20786.96,9620.72,36262.52,32837.97,24448.78
1133267.2091,-4065.75,20763.5,9589.48,36245.68,32823.85,24435.57
1133267.2111,-4059.27,20725.73,9454.01,36221.89,32755.28,24380.31
1133267.2131,-4044.91,20701.6,9333.52,36207.97,32693.82,24334.96
1133267.2151,-4025.56,20674.85,9197.24,36196.9,32626.39,24285.13
1133267.2171,-4024.7,20692.4,9207.15,36210.26,32628.16,24291.57
1133267.2191,-4037.33,20740.89,9356.88,36238.96,32704.26,24348.17
1133267.2211,-4045.39,20768.88,9481.24,36251.22,32757.19,24383.93
1133267.2231,-4061.99,20789.82,9595.73,36260.28,32820.66,24434.33
1133267.2251,-4067.28,20780.28,9616.81,36253.5,32839.16,24445.2
1133267.2271,-4059.65,20736.55,9496.07,36225.04,32776.55,24393.66
1133267.2291,-4058.12,20699.55,9359.65,36202.15,32704.36,24339.87
1133267.2311,-4037.71,20676.81,9233.14,36187.89,32638.22,24296.33
1133267.2331,-4018.16,20681.34,9170.2,36192.23,32603.51,24274.35
1133267.2351,-4031.61,20724.3,9306.38,36217.36,32676.41,24329.62
1133267.2371,-4054.79,20750.0,9432.36,36229.81,32730.01,24368.81
1133267.2391,-4068.42,20771.94,9546.66,36243.3,32786.66,24412.92
1133267.2411,-4071.47,20781.57,9622.1,36251.84,32835.11,24452.59
1133267.2431,-4064.51,20750.72,9549.09,36234.43,32800.82,24425.84
1133267.2451,-4053.64,20714.86,9410.29,36212.64,32726.34,24361.8
1133267.2471,-4047.87,20689.44,9291.36,36198.62,32668.74,24315.12
1133267.2491,-4031.99,20675.47,9166.34,36191.23,32603.94,24272.97
1133267.2511,-4046.73,20713.86,9261.04,36219.79,32657.01,24318.46
1133267.2531,-4054.4,20749.38,9398.8,36239.29,32721.19,24363.52
1133267.2551,-4054.4,20771.79,9515.72,36250.45,32775.36,24403.53
1133267.2571,-4062.89,20780.85,9608.75,36256.75,32830.43,24444.63
1133267.2591,-4068.23,20759.78,9585.67,36240.44,32821.85,24434.71
1133267.2611,-4054.83,20724.92,9458.54,36225.85,32761.1,24388.03
1133267.2631,-4040.43,20700.5,9348.16,36212.02,32705.12,24347.02
1133267.2651,-4018.74,20675.52,9195.19,36200.29,32630.59,24293.0
1133267.2671,-4023.22,20699.12,9215.02,36213.93,32640.46,24310.07
1133267.2691,-4043.48,20734.65,9347.39,36229.47,32700.02,24351.5
1133267.2711,-4059.36,20763.78,9477.14,36244.16,32759.48,24392.51
1133267.2731,-4068.9,20781.95,9584.57,36252.79,32813.55,24435.9
1133267.2751,-4069.57,20778.47,9619.57,36250.02,32838.3,24451.21
1133267.2771,-4064.42,20727.73,9491.25,36217.36,32766.16,24393.28
1133267.2791,-4058.27,20701.84,9377.62,36206.87,32714.23,24352.7
1133267.2811,-4036.33,20675.8,9231.71,36195.28,32642.32,24297.29
1133267.2831,-4021.65,20676.66,9174.54,36199.57,32610.04,24283.56
1133267.2851,-4042.01,20706.61,9286.36,36212.64,32661.25,24324.56
1133267.2871,-4054.59,20740.8,9425.55,36229.52,32728.87,24375.2
1133267.2891,-4075.05,20758.11,9528.97,36236.48,32780.89,24415.64
1133267.2911,-4088.93,20767.69,9614.09,36241.44,32832.39,24454.98
1133267.2931,-4074.0,20730.55,9528.54,36217.69,32786.99,24416.64
1133267.2951,-4060.79,20696.83,9401.85,36196.05,32721.19,24363.0
1133267.2971,-4047.59,20671.61,9271.29,36182.46,32658.34,24312.07
1133267.2991,-4022.55,20661.79,9157.37,36184.32,32606.08,24277.83
1133267.3011,-4036.47,20689.2,9232.24,36200.67,32643.61,24309.69
1133267.3031,-4048.54,20731.79,9385.49,36225.75,32717.37,24369.43
1133267.3051,-4074.91,20742.47,9488.25,36229.42,32760.53,24399.66
1133267.3071,-4107.29,20753.82,9594.97,36241.63,32826.24,24452.36
1133267.3091,-4109.19,20733.36,9568.02,36231.33,32819.18,24442.68
1133267.3111,-4075.58,20707.51,9447.58,36210.97,32755.14,24385.26
1133267.3131,-4051.16,20689.01,9326.13,36195.14,32690.1,24334.34
1133267.3151,-4031.85,20662.12,9183.31,36179.17,32614.95,24279.88
1133267.3171,-4018.02,20686.72,9200.0,36199.24,32626.73,24297.1
1133267.3191,-4020.31,20738.79,9356.69,36232.14,32707.89,24363.28
1133267.3211,-4027.22,20765.07,9475.61,36244.25,32758.76,24394.42
1133267.3231,-4040.58,20785.52,9590.2,36256.37,32814.41,24435.67
1133267.3251,-4067.33,20769.17,9612.85,36239.82,32825.14,24432.47
1133267.3271,-4067.28,20733.69,9498.22,36215.02,32767.11,24383.02
1133267.3291,-4044.06,20709.28,9378.05,36204.68,32711.94,24341.73
1133267.3311,-4041.0,20677.04,9233.14,36184.46,32637.89,24285.84
1133267.3331,-4033.71,20683.58,9174.3,36190.99,32604.89,24265.53
