TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1051719.6042,13336.47,4228.02,-5101.63,10482.46,27492.1,-3360.94,4334.12,24687.63
1051719.6082,13286.69,4066.04,-5179.79,10469.72,27325.25,-3511.43,3437.61,24625.5
1051719.6122,13262.46,4077.72,-5188.18,10446.5,27671.29,-3162.24,4622.79,24825.91
1051719.6162,13321.69,4239.94,-5104.83,10473.16,27884.06,-2951.29,5624.68,24939.59
1051719.6202,13327.41,4236.7,-5106.88,10469.44,27576.4,-3263.33,4630.66,24771.22
1051719.6242,13288.88,4083.11,-5176.93,10469.25,27313.76,-3534.37,3425.88,24625.21
1051719.6282,13283.06,4058.5,-5192.33,10453.32,27618.98,-3233.43,4367.07,24785.9
1051719.6322,13288.69,4182.86,-5146.55,10429.48,27904.28,-2941.8,5571.89,24979.07
1051719.6361,13300.47,4222.39,-5118.23,10455.99,27673.96,-3171.54,4905.13,24835.4
1051719.6401,13287.02,4097.89,-5164.53,10472.97,27333.64,-3500.32,3478.91,24664.83
1051719.6441,13282.35,4048.16,-5196.05,10470.01,27567.87,-3268.91,4142.71,24769.12
1051719.6481,13307.72,4187.11,-5120.61,10482.03,27880.82,-2983.28,5452.44,24880.13
1051719.6521,13328.84,4255.25,-5091.0,10480.21,27763.47,-3103.35,5190.37,24840.5
1051719.6561,13310.39,4138.23,-5145.26,10484.6,27374.84,-3447.68,3627.87,24713.85
1051719.6601,13259.03,4026.46,-5208.06,10467.82,27497.82,-3312.59,3849.08,24778.99
1051719.6641,13298.66,4166.51,-5135.01,10463.38,27853.78,-2991.1,5260.61,24883.89
1051719.6681,13342.05,4278.09,-5080.8,10477.83,27848.29,-3024.86,5427.27,24870.59
1051719.6721,13320.97,4172.37,-5132.39,10472.35,27426.91,-3449.11,3875.54,24618.01
1051719.6761,13281.97,4027.37,-5210.73,10448.5,27394.11,-3467.13,3595.88,24556.16
1051719.6801,13281.2,4113.25,-5169.68,10444.59,27792.84,-3081.13,5032.44,24787.95
1051719.6841,13300.23,4233.69,-5116.99,10444.36,27867.03,-3005.7,5503.32,24846.94
1051719.6881,13296.94,4174.28,-5144.55,10442.69,27464.73,-3400.52,4059.98,24640.28
1051719.6921,13276.67,4030.37,-5216.31,10447.69,27360.01,-3480.24,3448.15,24602.65
1051719.6961,13297.27,4100.42,-5175.16,10462.19,27737.67,-3087.19,4820.78,24814.75
1051719.7001,13327.89,4236.22,-5110.93,10452.41,27930.17,-2913.24,5651.52,24932.1
1051719.7041,13320.3,4203.7,-5119.94,10454.32,27567.34,-3276.68,4411.51,24728.49
1051719.7081,13296.75,4053.93,-5187.37,10452.27,27356.06,-3467.99,3422.17,24626.21
1051719.7121,13264.99,4054.5,-5212.64,10411.74,27693.27,-3132.06,4604.53,24786.38
1051719.7161,13285.35,4206.56,-5143.6,10408.93,27935.08,-2902.22,5667.83,24909.55
1051719.7201,13323.45,4229.93,-5117.66,10455.85,27650.79,-3197.38,4742.58,24767.26
1051719.7241,13311.91,4103.47,-5160.62,10487.84,27355.39,-3473.14,3469.13,24623.06
1051719.7281,13297.13,4064.13,-5174.45,10485.46,27661.8,-3147.08,4421.76,24823.62
1051719.7321,13312.72,4196.02,-5119.99,10480.36,27934.51,-2853.44,5600.74,25008.35
1051719.7361,13320.73,4242.37,-5114.84,10475.45,27705.82,-3106.12,5011.89,24808.27
1051719.7401,13321.93,4135.08,-5161.0,10471.44,27349.0,-3438.47,3535.27,24637.65
1051719.7441,13296.08,4050.78,-5189.85,10456.52,27583.65,-3211.69,4150.49,24748.71
1051719.7481,13299.42,4170.94,-5121.95,10457.61,27909.9,-2883.86,5488.11,24947.31
1051719.7521,13331.46,4251.91,-5084.94,10462.24,27767.71,-3042.27,5235.24,24815.47
1051719.7561,13311.67,4149.34,-5134.63,10471.3,27346.28,-3463.7,3658.96,24534.37
1051719.7601,13289.17,4047.68,-5187.85,10466.48,27459.58,-3337.19,3856.8,24599.36
1051719.764,13299.23,4153.4,-5142.74,10452.75,27804.28,-2984.81,5240.82,24817.04
1051719.768,13327.31,4244.8,-5099.34,10462.67,27801.33,-3027.39,5422.93,24750.38
1051719.772,13305.57,4167.13,-5132.53,10462.09,27405.12,-3405.52,3919.41,24575.14
1051719.776,13293.55,4053.16,-5187.51,10450.84,27416.9,-3365.8,3687.57,24607.71
1051719.78,13304.14,4131.51,-5168.15,10437.16,27786.12,-3004.17,5068.49,24800.4
1051719.784,13324.64,4250.96,-5116.8,10451.84,27865.94,-2915.1,5581.9,24877.03
1051719.788,13322.88,4197.74,-5132.63,10457.18,27470.83,-3303.77,4182.1,24657.44
1051719.792,13284.11,4052.69,-5180.22,10463.57,27360.2,-3390.69,3545.43,24602.46
