TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389885.0182,2345.47,13060.57,34218.12,33554.51,24503.04,28027.59,12783.67,8455.42
1389885.0202,2594.42,13050.61,34241.92,33574.87,24520.97,28051.28,12771.75,8478.88
1389885.0222,3105.4,13096.05,34260.37,33577.73,24518.25,28091.72,12857.49,8480.98
1389885.0242,3627.73,13161.9,34255.94,33552.56,24489.45,28115.94,12982.04,8465.15
1389885.0262,3967.19,13236.86,34231.09,33520.99,24460.03,28132.49,13101.05,8442.31
1389885.0282,3920.75,13284.73,34211.69,33506.35,24451.74,28133.35,13158.47,8434.63
1389885.0302,3462.12,13288.07,34211.88,33518.27,24464.09,28101.4,13109.4,8445.6
1389885.0322,2780.1,13203.05,34215.65,33528.62,24487.36,28056.05,12967.3,8463.91
1389885.0342,2385.66,13097.53,34220.84,33541.16,24503.19,28014.85,12818.1,8478.12
1389885.0362,2458.14,13043.55,34222.75,33542.73,24506.33,28007.37,12747.81,8484.79
1389885.0382,2915.19,13066.77,34243.83,33552.08,24513.53,28046.75,12801.84,8493.0
1389885.0402,3459.84,13131.29,34246.4,33546.69,24498.13,28096.82,12926.06,8476.78
1389885.0422,3900.0,13209.63,34228.23,33525.04,24471.05,28125.05,13055.14,8448.46
1389885.0442,3986.03,13277.25,34222.03,33520.8,24464.75,28142.79,13150.74,8443.07
1389885.0462,3671.6,13297.46,34216.26,33518.37,24462.42,28121.09,13142.73,8438.25
1389885.0482,2996.35,13227.51,34213.02,33525.18,24477.72,28066.02,13011.17,8452.32
1389885.0502,2472.21,13123.85,34229.95,33545.64,24506.57,28026.77,12858.15,8482.31
1389885.0522,2394.44,13061.24,34246.54,33562.43,24523.07,28020.91,12769.75,8495.24
1389885.0542,2764.32,13067.39,34258.23,33576.59,24525.84,28054.86,12796.36,8502.68
1389885.0562,3286.7,13121.18,34259.37,33573.06,24510.77,28092.67,12898.88,8489.18
1389885.0582,3772.64,13186.41,34232.76,33544.83,24472.48,28111.6,13014.84,8444.12
1389885.0602,3982.74,13246.39,34207.97,33514.22,24439.62,28111.13,13102.34,8409.41
1389885.0622,3819.51,13291.6,34206.49,33519.65,24440.77,28099.97,13133.96,8415.56
1389885.0642,3220.22,13259.32,34198.29,33526.38,24454.45,28060.73,13039.4,8430.96
1389885.0662,2574.63,13143.4,34195.57,33532.19,24475.05,28020.81,12874.8,8449.75
1389885.0682,2353.57,13079.45,34226.76,33562.52,24511.15,28027.11,12783.58,8487.03
1389885.0702,2603.1,13055.76,34243.54,33560.85,24517.78,28042.56,12766.98,8495.86
1389885.0722,3087.33,13081.74,34243.49,33544.07,24502.47,28072.69,12838.27,8481.41
1389885.0742,3631.83,13158.23,34242.3,33540.3,24493.03,28115.71,12968.35,8469.63
1389885.0762,3978.3,13238.86,34229.38,33523.47,24475.01,28135.11,13093.43,8447.93
1389885.0782,3930.95,13281.3,34214.64,33508.97,24459.84,28131.54,13152.08,8429.86
1389885.0802,3461.17,13279.15,34208.83,33510.64,24453.64,28098.92,13108.06,8427.81
1389885.0822,2770.71,13187.12,34217.27,33521.23,24477.1,28055.39,12963.77,8451.27
1389885.0842,2385.04,13091.04,34230.76,33541.16,24503.76,28030.54,12822.63,8479.64
1389885.0862,2457.52,13041.07,34236.91,33550.93,24514.96,28037.69,12765.98,8491.33
1389885.0882,2906.28,13058.81,34238.2,33549.65,24506.09,28064.64,12815.24,8483.41
1389885.0902,3437.28,13120.03,34238.82,33547.31,24493.89,28096.68,12925.72,8470.25
1389885.0922,3894.57,13215.83,34229.38,33534.67,24472.86,28123.29,13061.1,8449.32
1389885.0942,3977.49,13273.77,34220.94,33525.57,24463.99,28142.65,13144.21,8442.31
1389885.0962,3688.96,13311.2,34225.09,33539.49,24472.43,28122.33,13145.5,8451.94
1389885.0982,3007.6,13249.4,34230.86,33549.93,24495.32,28077.46,13026.81,8466.53
1389885.1002,2480.08,13145.4,34236.39,33559.47,24514.01,28040.94,12877.37,8474.3
1389885.1022,2390.1,13074.45,34248.17,33567.58,24525.74,28034.5,12787.63,8488.8
1389885.1042,2772.62,13082.65,34258.89,33573.92,24528.46,28066.3,12813.76,8497.72
1389885.1062,3272.96,13129.38,34266.43,33573.3,24522.83,28104.64,12909.46,8497.29
1389885.1082,3794.77,13209.73,34255.46,33556.37,24494.94,28126.24,13037.73,8468.3
1389885.1102,3992.94,13272.86,34230.38,33528.71,24464.32,28129.77,13134.15,8436.73
1389885.1122,3843.78,13310.2,34212.88,33517.94,24446.78,28118.52,13160.9,8411.36
1389885.1142,3216.55,13269.62,34211.69,33532.91,24460.94,28077.75,13068.3,8425.76
1389885.1162,2612.5,13177.63,34225.28,33554.22,24494.94,28045.66,12922.57,8465.43
1389885.1182,2346.52,13087.32,34240.87,33563.33,24523.07,28028.68,12802.51,8499.81
1389885.1202,2610.35,13067.49,34252.84,33570.34,24528.89,28049.66,12788.49,8508.64
1389885.1222,3081.61,13101.34,34262.38,33571.15,24523.98,28080.51,12857.63,8506.25
1389885.1242,3636.84,13165.62,34243.06,33545.31,24489.12,28096.92,12961.53,8472.4
1389885.1262,3945.16,13226.8,34215.79,33509.78,24455.6,28110.79,13062.76,8435.3
1389885.1282,3930.62,13281.3,34207.01,33498.67,24443.72,28107.69,13128.66,8422.76
1389885.1302,3447.91,13284.59,34207.49,33510.07,24452.88,28080.51,13086.46,8432.77
1389885.1322,2788.88,13201.05,34213.93,33523.75,24472.19,28049.28,12954.67,8452.61
1389885.1342,2370.17,13105.92,34231.81,33543.78,24502.47,28029.64,12824.82,8478.45
1389885.1362,2476.74,13069.77,34253.6,33566.0,24522.93,28035.55,12777.9,8496.05
1389885.1382,2906.13,13089.47,34264.0,33574.78,24522.74,28067.02,12829.02,8495.47
1389885.1402,3471.33,13151.03,34264.95,33570.68,24510.43,28104.45,12938.45,8485.75
1389885.1422,3889.75,13229.71,34249.36,33543.88,24486.26,28129.58,13063.48,8462.38
1389885.1442,3996.66,13286.88,34223.47,33522.99,24462.99,28139.88,13147.74,8439.35
1389885.1462,3673.51,13309.05,34207.06,33517.7,24455.74,28124.76,13139.63,8431.24
1389885.1482,3005.55,13241.58,34209.59,33522.8,24471.67,28086.47,13015.22,8444.6
1389885.1502,2462.77,13142.4,34225.66,33543.21,24497.42,28052.05,12869.74,8470.06
1389885.1522,2386.05,13075.73,34248.5,33568.43,24515.92,28025.54,12778.47,8485.75
1389885.1542,2744.39,13073.4,34255.37,33575.35,24517.49,28043.89,12793.11,8486.7
1389885.1562,3263.43,13116.5,34254.13,33571.91,24508.24,28085.04,12884.38,8482.17
1389885.1582,3783.18,13202.0,34246.5,33555.75,24490.65,28113.85,13010.17,8462.86
1389885.1602,4007.91,13274.72,34239.2,33543.45,24479.34,28134.83,13123.94,8450.18
1389885.1622,3855.18,13325.31,34228.71,33542.06,24471.81,28130.58,13169.0,8447.79
1389885.1642,3242.49,13282.44,34223.04,33540.59,24484.4,28084.19,13077.12,8459.04
1389885.1662,2612.73,13178.4,34227.28,33554.61,24502.33,28035.31,12919.48,8478.17
1389885.1682,2352.29,13084.13,34238.06,33570.96,24516.49,28016.14,12797.5,8494.19
1389885.1702,2600.67,13066.2,34251.6,33577.16,24522.5,28037.69,12791.3,8499.05
1389885.1722,3079.61,13090.99,34264.09,33573.73,24526.17,28077.27,12862.45,8500.05
1389885.1742,3634.93,13157.75,34253.51,33549.22,24504.47,28107.31,12963.96,8474.68
1389885.1762,3961.18,13237.57,34235.96,33520.7,24477.01,28129.2,13080.84,8448.46
1389885.1782,3942.87,13292.46,34222.13,33502.54,24458.6,28119.71,13146.31,8429.48
1389885.1802,3460.03,13281.3,34213.69,33502.39,24458.22,28083.09,13099.39,8429.72
1389885.1822,2792.74,13193.8,34207.78,33505.97,24472.0,28039.17,12963.11,8441.64
1389885.1842,2358.39,13079.84,34211.45,33517.89,24488.12,28007.22,12818.29,8458.76
1389885.1862,2474.02,13052.75,34231.95,33543.5,24509.34,28022.91,12777.43,8481.03
1389885.1882,2890.54,13068.92,34239.92,33543.73,24509.1,28054.38,12830.83,8481.69
1389885.1902,3450.68,13135.82,34242.68,33539.92,24493.65,28092.44,12934.35,8465.24
1389885.1922,3879.79,13222.12,34242.78,33539.97,24481.39,28136.88,13062.19,8453.94
1389885.1942,4007.63,13290.41,34231.14,33535.53,24465.23,28152.99,13148.98,8437.83
1389885.1962,3675.32,13311.72,34223.94,33532.34,24460.22,28128.77,13141.82,8438.49
1389885.1982,3015.47,13248.11,34221.8,33535.87,24478.15,28058.72,13018.61,8458.23
1389885.2002,2453.8,13132.05,34228.28,33549.65,24503.81,28011.23,12862.35,8484.65
1389885.2022,2384.76,13066.91,34241.78,33562.47,24512.68,27999.83,12769.84,8491.95
1389885.2042,2717.83,13061.0,34252.12,33567.0,24511.15,28026.54,12783.72,8490.94
1389885.2062,3255.03,13110.11,34257.37,33561.76,24501.04,28070.26,12885.14,8474.4
1389885.2082,3761.05,13192.23,34252.6,33551.98,24483.11,28111.56,13019.8,8447.51
1389885.2102,4007.63,13269.81,34236.01,33540.54,24466.37,28127.1,13125.71,8432.82
1389885.2122,3820.09,13303.42,34217.31,33531.24,24455.41,28110.7,13155.18,8427.43
1389885.2142,3233.15,13256.98,34198.72,33517.7,24452.45,28063.11,13065.82,8428.96
1389885.2162,2578.54,13146.74,34190.94,33517.98,24468.28,28016.05,12898.83,8446.41
1389885.2182,2340.51,13065.39,34210.02,33544.74,24492.55,28009.32,12782.05,8474.49
1389885.2202,2563.19,13037.73,34226.04,33551.65,24502.95,28035.21,12768.22,8483.84
1389885.2222,3071.98,13079.22,34238.87,33549.74,24501.61,28080.75,12854.48,8480.12
1389885.2242,3624.01,13165.81,34250.84,33550.5,24493.46,28130.82,12982.75,8472.01
