Timestamp,Event
1686792655235,Start
1686792655235,Spacebar
1686792655719,Spacebar
1686792656020,Spacebar
1686792656229,Spacebar
1686792656696,Spacebar
1686792656887,Spacebar
1686792657445,Spacebar
1686792657886,Spacebar
1686792658062,Spacebar
1686792658212,Spacebar
1686792658362,Spacebar
1686792658505,Spacebar
1686792659224,Over
1686792660344,Spacebar
1686792661920,Start
1686792662438,Spacebar
1686792662879,Spacebar
1686792663245,Spacebar
1686792663740,Spacebar
1686792664235,Spacebar
1686792664529,Spacebar
1686792665261,Spacebar
1686792665803,Spacebar
1686792666046,Spacebar
1686792666199,Spacebar
1686792666352,Spacebar
1686792666498,Spacebar
1686792666654,Spacebar
1686792667021,Spacebar
1686792667494,Spacebar
1686792668312,Spacebar
1686792668391,Over
1686792668538,Spacebar
1686792668700,Spacebar
1686792669338,Start
1686792670164,Spacebar
1686792670601,Spacebar
1686792671044,Spacebar
1686792671228,Spacebar
1686792671404,Spacebar
1686792671556,Spacebar
1686792671704,Spacebar
1686792672472,Spacebar
1686792672828,Spacebar
1686792673012,Spacebar
1686792673178,Spacebar
1686792673350,Spacebar
1686792674229,Spacebar
1686792674436,Spacebar
1686792674596,Spacebar
1686792674751,Spacebar
1686792674904,Spacebar
1686792675031,Spacebar
1686792675059,Over
1686792675193,Spacebar
1686792676529,Start
1686792677137,Spacebar
1686792677545,Spacebar
1686792678256,Spacebar
1686792678695,Spacebar
1686792678979,Spacebar
1686792679454,Spacebar
1686792679611,Spacebar
1686792679762,Spacebar
1686792679918,Spacebar
1686792680089,Spacebar
1686792680199,Spacebar
1686792680945,Spacebar
1686792681704,Spacebar
1686792681862,Spacebar
1686792682350,Spacebar
1686792682690,Spacebar
1686792682862,Spacebar
1686792682995,Spacebar
1686792683134,Spacebar
1686792683273,Spacebar
1686792683389,Over
1686792683426,Spacebar
1686792684751,Start
1686792685277,Spacebar
1686792685733,Spacebar
1686792685993,Spacebar
1686792686597,Spacebar
1686792687028,Spacebar
1686792687200,Spacebar
1686792687395,Spacebar
1686792687853,Spacebar
1686792688062,Spacebar
1686792688228,Spacebar
1686792688411,Spacebar
1686792689311,Spacebar
1686792689614,Spacebar
1686792689795,Spacebar
1686792689955,Spacebar
1686792690111,Spacebar
1686792690600,Spacebar
1686792690845,Spacebar
1686792691190,Spacebar
1686792691586,Spacebar
1686792692356,Spacebar
1686792692610,Spacebar
1686792693094,Spacebar
1686792693365,Spacebar
1686792694028,Spacebar
1686792694194,Spacebar
1686792694549,Spacebar
1686792694719,Spacebar
1686792694894,Spacebar
1686792695050,Spacebar
1686792695901,Spacebar
1686792696078,Spacebar
1686792696253,Spacebar
1686792696406,Spacebar
1686792696566,Spacebar
1686792696722,Over
1686792696726,Spacebar
1686792698284,Start
1686792698912,Spacebar
1686792699411,Spacebar
1686792699582,Spacebar
1686792699921,Spacebar
1686792700215,Spacebar
1686792700903,Spacebar
1686792701555,Spacebar
1686792701755,Spacebar
1686792701994,Spacebar
1686792702136,Spacebar
1686792702283,Spacebar
1686792702410,Spacebar
1686792702572,Spacebar
1686792703251,Spacebar
1686792703778,Spacebar
1686792704329,Spacebar
1686792704497,Spacebar
1686792704661,Spacebar
1686792704834,Spacebar
1686792704995,Spacebar
1686792705060,Over
1686792706285,Start
1686792706677,Spacebar
1686792707101,Spacebar
1686792707612,Spacebar
1686792708212,Spacebar
1686792708568,Spacebar
1686792708748,Spacebar
1686792708911,Spacebar
1686792709077,Spacebar
1686792709239,Spacebar
1686792709595,Spacebar
1686792709944,Spacebar
1686792710839,Spacebar
1686792711199,Spacebar
1686792711461,Spacebar
1686792711628,Spacebar
1686792711725,Over
1686792711801,Spacebar
1686792713161,Start
1686792713911,Spacebar
1686792714663,Spacebar
1686792714848,Spacebar
1686792715222,Over
1686792715228,Spacebar
1686792715388,Spacebar
1686792716760,Start
1686792717262,Spacebar
1686792717753,Spacebar
1686792717984,Spacebar
1686792718181,Spacebar
1686792718363,Spacebar
1686792718953,Spacebar
1686792719416,Spacebar
1686792720041,Spacebar
1686792720057,Over
1686792721377,Start
1686792721751,Spacebar
1686792722210,Spacebar
1686792722612,Spacebar
1686792723002,Spacebar
1686792723489,Spacebar
1686792724188,Spacebar
1686792724410,Spacebar
1686792725009,Spacebar
1686792725216,Spacebar
1686792725393,Spacebar
1686792725578,Spacebar
1686792725717,Spacebar
1686792725882,Spacebar
1686792726522,Spacebar
1686792726728,Spacebar
1686792727122,Spacebar
1686792727418,Spacebar
1686792727730,Spacebar
1686792728283,Spacebar
1686792728446,Spacebar
1686792729184,Spacebar
1686792729545,Spacebar
1686792729900,Spacebar
1686792730060,Spacebar
1686792730594,Spacebar
1686792730862,Spacebar
1686792731585,Spacebar
1686792731880,Spacebar
1686792732051,Spacebar
1686792732216,Spacebar
1686792732351,Spacebar
1686792732521,Spacebar
1686792733048,Spacebar
1686792733361,Spacebar
1686792733844,Spacebar
1686792734117,Spacebar
1686792734844,Spacebar
1686792735296,Spacebar
1686792735487,Spacebar
1686792735645,Spacebar
1686792735820,Spacebar
1686792736685,Spacebar
1686792736899,Spacebar
1686792737284,Spacebar
1686792737460,Spacebar
1686792737610,Spacebar
1686792738363,Spacebar
1686792738871,Spacebar
1686792739262,Spacebar
1686792739446,Spacebar
1686792739629,Spacebar
1686792739794,Spacebar
1686792739948,Spacebar
1686792740055,Over
1686792740083,Spacebar
1686792740987,Start
1686792741436,Spacebar
1686792741844,Spacebar
1686792742014,Spacebar
1686792742183,Spacebar
1686792742345,Spacebar
1686792742868,Spacebar
1686792743389,Over
1686792745016,Start
1686792745380,Spacebar
1686792745821,Spacebar
