TimeStamp,Code
1051615.2866,sw_1
1051617.2747,sw_1
1051618.4834,sw_1
1051619.9895,sw_1
1051622.3588,sw_1
1051624.1488,sw_1
1051626.3685,sw_1
1051628.3509,sw_1
1051630.2462,sw_1
1051641.7776,sw_1
1051647.1789,sw_1
1051660.5098,sw_1
1051667.0727,sw_2
1051669.3951,sw_2
1051672.0869,sw_2
1051675.0562,sw_2
