TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1051852.9824,12263.16,5415.25,-4568.67,11524.25,28126.62,4210.47,12556.94,18824.39
1051852.9864,12250.62,5355.12,-4603.91,11528.64,28177.17,4393.29,12698.13,18925.48
1051852.9904,12213.99,5311.68,-4641.53,11499.45,28200.39,4551.7,13005.54,18964.01
1051852.9944,12287.33,5429.32,-4541.87,11565.73,28165.2,4363.16,12821.72,18875.32
1051852.9984,12302.88,5455.92,-4521.94,11576.08,28097.68,4172.66,12527.37,18792.25
1051853.0024,12261.06,5363.23,-4599.14,11525.87,28081.61,4252.91,12504.05,18825.82
1051853.0064,12251.52,5344.39,-4605.25,11537.22,28143.36,4482.65,12843.99,18917.71
1051853.0104,12292.96,5428.36,-4540.01,11573.84,28134.83,4359.63,12750.44,18872.88
1051853.0144,12307.45,5460.22,-4527.14,11565.16,28042.99,4117.78,12424.38,18746.95
1051853.0184,12297.15,5411.2,-4552.17,11565.31,28045.09,4186.92,12383.18,18798.83
1051853.0224,12286.47,5370.28,-4577.59,11568.21,28127.01,4438.64,12751.1,18908.07
1051853.0264,12319.61,5434.13,-4531.24,11594.58,28125.81,4358.34,12719.25,18876.7
1051853.0304,12323.29,5468.56,-4512.98,11583.95,28069.79,4119.59,12389.18,18768.65
1051853.0344,12247.95,5372.19,-4586.12,11535.93,28041.84,4120.73,12252.71,18778.37
1051853.0379,12230.54,5316.21,-4627.42,11526.97,28135.4,4401.35,12603.0,18912.84
1051853.0419,12275.41,5381.63,-4578.45,11559.06,28180.17,4405.31,12709.19,18898.44
1051853.0459,12250.09,5397.13,-4586.03,11515.52,28087.62,4117.87,12379.08,18733.12
1051853.0499,12206.56,5341.67,-4630.76,11480.95,28060.58,4079.15,12229.59,18724.49
1051853.0539,12212.37,5305.72,-4647.54,11495.54,28162.53,4374.93,12555.17,18885.57
1051853.0579,12215.71,5325.22,-4639.29,11497.17,28177.55,4436.4,12735.56,18898.3
1051853.0619,12270.74,5424.21,-4559.09,11548.33,28133.25,4214.72,12475.54,18795.35
1051853.0659,12212.8,5361.99,-4615.83,11497.69,28049.66,4074.43,12233.93,18712.86
1051853.0699,12193.25,5295.47,-4665.09,11483.58,28092.29,4291.34,12445.98,18817.0
1051853.0739,12243.65,5348.83,-4617.41,11531.78,28158.33,4466.92,12753.58,18901.45
1051853.0779,12273.6,5429.46,-4555.18,11549.81,28096.92,4221.96,12484.22,18779.09
1051853.0819,12217.81,5381.16,-4613.07,11477.57,27976.23,4002.38,12155.77,18643.81
1051853.0859,12213.8,5336.19,-4635.29,11493.78,28032.83,4203.75,12310.74,18747.81
1051853.0899,12225.06,5342.87,-4621.51,11526.73,28102.07,4417.09,12676.05,18821.38
1051853.0939,12262.63,5420.07,-4567.96,11543.47,28061.35,4225.87,12490.08,18732.5
1051853.0979,12259.63,5425.31,-4578.64,11511.37,27999.79,4028.61,12195.87,18653.87
1051853.1019,12249.61,5374.62,-4603.24,11525.3,28023.06,4145.67,12226.73,18716.24
1051853.1059,12264.11,5374.34,-4593.61,11561.78,28120.38,4403.31,12579.78,18841.94
1051853.1099,12263.73,5403.09,-4577.11,11553.53,28069.88,4213.95,12387.23,18737.37
1051853.1139,12253.67,5413.87,-4580.69,11525.82,27995.49,3988.65,12057.73,18630.51
1051853.1179,12228.92,5351.73,-4637.0,11499.69,28018.14,4069.85,12054.4,18669.42
1051853.1219,12180.33,5275.87,-4698.71,11461.31,28104.79,4357.62,12468.72,18801.5
1051853.1259,12166.55,5298.47,-4674.96,11462.4,28067.16,4249.05,12412.03,18737.18
1051853.1299,12222.48,5378.49,-4615.5,11489.35,28058.58,4053.74,12134.51,18686.49
1051853.1339,12187.29,5320.69,-4659.22,11464.07,28027.01,4034.0,12030.56,18647.01
1051853.1379,12170.13,5271.48,-4696.04,11459.92,28100.64,4310.42,12393.71,18758.68
1051853.1419,12169.74,5286.46,-4701.42,11440.61,28074.08,4269.27,12457.56,18710.57
1051853.1459,12203.69,5365.37,-4638.82,11472.37,28027.97,4035.43,12173.13,18605.43
1051853.1499,12220.24,5371.05,-4625.61,11492.78,28027.97,4027.46,12066.32,18618.87
1051853.1539,12237.36,5341.96,-4644.16,11505.75,28131.35,4328.39,12425.95,18770.17
1051853.1579,12200.21,5321.31,-4664.14,11483.48,28123.76,4376.84,12596.66,18759.73
1051853.1619,12136.89,5306.01,-4690.55,11429.31,27959.3,4030.42,12201.22,18537.62
1051853.1658,12200.07,5365.94,-4639.1,11464.6,27972.27,3987.22,12063.27,18547.97
1051853.1698,12200.02,5332.28,-4653.45,11482.19,28058.34,4255.96,12344.79,18682.2
1051853.1738,12181.66,5319.5,-4677.39,11456.54,28085.86,4399.54,12641.57,18710.33
1051853.1778,12195.64,5372.05,-4641.91,11454.97,28028.25,4180.24,12400.68,18608.62
1051853.1818,12211.85,5398.94,-4611.06,11472.8,28008.37,4092.26,12212.33,18593.08
1051853.1858,12184.76,5332.18,-4661.08,11452.72,28071.55,4340.08,12436.58,18729.02
1051853.1898,12169.74,5314.26,-4683.64,11444.19,28134.97,4551.55,12876.42,18746.76
