TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1052097.5345,8762.65,2891.21,-6725.98,5312.87,21371.99,-6624.32,-7402.9,9506.85
1052097.5384,8755.11,2846.53,-6748.49,5308.77,21332.55,-6657.7,-7588.01,9516.62
1052097.5424,8745.48,2774.19,-6783.58,5306.77,21325.59,-6596.28,-7610.61,9572.03
1052097.5464,8755.4,2816.77,-6763.13,5306.53,21358.59,-6558.75,-7446.34,9570.89
1052097.5504,8766.32,2892.45,-6726.31,5302.1,21370.03,-6600.52,-7383.59,9521.49
1052097.5544,8776.0,2870.7,-6735.99,5304.43,21337.65,-6641.34,-7542.32,9513.43
1052097.5584,8748.82,2774.19,-6792.64,5283.98,21319.68,-6607.34,-7625.82,9563.59
1052097.5624,8741.81,2794.46,-6779.24,5295.32,21359.59,-6555.41,-7449.77,9573.89
1052097.5664,8759.79,2879.91,-6725.5,5309.68,21376.9,-6601.29,-7373.76,9516.53
1052097.5704,8769.13,2886.15,-6724.45,5314.59,21351.86,-6647.87,-7496.69,9504.51
1052097.5744,8760.74,2805.66,-6770.18,5300.95,21329.74,-6624.27,-7629.35,9555.15
1052097.5784,8762.79,2807.86,-6765.22,5305.43,21361.26,-6556.94,-7478.76,9582.57
1052097.5824,8785.87,2890.3,-6713.92,5320.6,21387.29,-6583.69,-7366.94,9544.8
1052097.5864,8754.68,2882.29,-6734.66,5297.23,21347.38,-6650.59,-7470.23,9500.74
1052097.5904,8742.62,2807.24,-6769.37,5310.92,21323.92,-6631.85,-7627.49,9551.91
1052097.5944,8743.0,2781.2,-6778.53,5312.4,21354.11,-6550.84,-7497.98,9595.49
1052097.5984,8761.69,2858.97,-6734.99,5307.63,21377.9,-6567.29,-7379.63,9555.72
1052097.6024,8785.87,2911.14,-6703.09,5327.32,21373.99,-6614.02,-7415.15,9530.31
1052097.6064,8774.42,2838.85,-6740.43,5331.23,21333.46,-6633.14,-7608.56,9553.48
1052097.6104,8748.44,2782.97,-6784.63,5301.91,21343.19,-6564.67,-7534.6,9593.15
1052097.6144,8753.49,2845.43,-6751.73,5297.71,21362.69,-6580.88,-7403.66,9545.85
1052097.6184,8760.36,2897.98,-6722.88,5302.95,21365.65,-6628.8,-7392.79,9507.47
1052097.6224,8758.5,2838.37,-6750.78,5304.43,21333.89,-6645.16,-7587.62,9542.42
1052097.6264,8746.34,2775.91,-6787.35,5294.75,21332.17,-6581.59,-7575.7,9585.29
1052097.6304,8750.25,2830.79,-6759.45,5297.95,21363.59,-6581.97,-7427.5,9541.23
1052097.6344,8757.07,2883.63,-6734.47,5299.14,21370.6,-6621.41,-7384.49,9500.17
1052097.6384,8757.74,2849.77,-6742.14,5315.59,21333.89,-6650.4,-7583.19,9524.06
1052097.6424,8763.03,2794.41,-6771.14,5319.31,21348.34,-6577.35,-7584.14,9598.45
1052097.6464,8760.5,2831.98,-6761.84,5309.49,21373.47,-6553.75,-7435.66,9584.09
1052097.6504,8778.81,2909.85,-6716.68,5319.12,21379.85,-6604.53,-7373.76,9515.43
1052097.6544,8778.0,2887.77,-6724.45,5318.98,21341.9,-6653.64,-7543.04,9510.95
1052097.6584,8762.31,2807.43,-6767.32,5311.87,21332.27,-6605.24,-7616.62,9576.99
1052097.6624,8763.31,2820.73,-6762.17,5310.11,21361.31,-6556.23,-7455.35,9583.62
1052097.6663,8777.67,2902.79,-6715.92,5322.27,21378.23,-6594.52,-7377.43,9535.17
1052097.6703,8773.8,2896.45,-6717.21,5326.89,21349.1,-6651.26,-7506.66,9512.47
1052097.6743,8763.98,2811.0,-6758.45,5322.5,21325.73,-6622.65,-7631.02,9561.02
1052097.6783,8758.21,2805.57,-6759.98,5314.02,21357.4,-6555.75,-7479.14,9582.43
1052097.6823,8770.8,2883.01,-6720.21,5315.35,21367.84,-6594.94,-7384.3,9527.35
1052097.6863,8774.81,2896.45,-6719.83,5313.06,21344.47,-6643.92,-7469.08,9501.6
1052097.6903,8757.16,2816.34,-6762.27,5311.39,21318.87,-6630.66,-7631.97,9547.04
1052097.6943,8757.97,2794.46,-6777.19,5305.96,21348.86,-6551.74,-7512.76,9593.15
1052097.6983,8768.08,2869.89,-6736.95,5312.82,21369.51,-6582.36,-7394.08,9536.41
1052097.7023,8775.57,2909.04,-6713.53,5321.07,21362.26,-6621.17,-7429.51,9518.15
1052097.7063,8770.8,2840.47,-6750.25,5320.41,21324.92,-6633.04,-7616.81,9549.95
1052097.7103,8764.22,2793.26,-6776.43,5315.35,21342.76,-6563.24,-7529.12,9592.2
1052097.7143,8770.94,2859.21,-6738.57,5315.11,21372.94,-6559.09,-7384.49,9570.65
1052097.7183,8792.59,2929.16,-6695.32,5338.76,21391.78,-6593.75,-7356.5,9536.41
1052097.7223,8777.29,2862.26,-6734.85,5326.65,21327.36,-6643.11,-7594.06,9529.31
1052097.7263,8755.11,2783.92,-6784.63,5301.67,21317.87,-6587.36,-7583.81,9570.31
1052097.7303,8763.08,2839.8,-6753.87,5304.05,21349.91,-6572.06,-7426.93,9552.67
1052097.7343,8767.89,2903.65,-6722.93,5307.82,21357.11,-6616.83,-7386.73,9510.66
1052097.7383,8766.22,2862.36,-6743.15,5306.01,21324.54,-6654.26,-7558.54,9513.62
1052097.7423,8748.29,2786.26,-6782.25,5295.71,21310.09,-6599.38,-7600.74,9573.75
1052097.7463,8764.08,2835.51,-6751.59,5309.58,21352.01,-6549.69,-7429.55,9590.2
1052097.7503,8785.2,2916.43,-6709.77,5322.27,21367.93,-6588.89,-7361.13,9547.38
1052097.7543,8761.45,2883.58,-6729.17,5314.68,21324.06,-6650.16,-7530.26,9521.2
1052097.7583,8756.35,2800.27,-6771.66,5306.1,21314.34,-6613.21,-7608.75,9559.54
1052097.7623,8759.17,2811.86,-6770.95,5297.71,21346.14,-6560.61,-7451.25,9575.27
1052097.7663,8771.56,2891.21,-6724.93,5309.49,21367.08,-6600.95,-7366.71,9524.92
1052097.7703,8768.7,2887.06,-6728.27,5310.58,21338.75,-6652.83,-7489.01,9503.79
1052097.7743,8753.83,2802.09,-6772.85,5302.33,21313.72,-6627.99,-7624.58,9556.29
1052097.7783,8753.11,2797.89,-6771.14,5308.29,21344.9,-6564.47,-7474.47,9583.38
1052097.7823,8769.27,2881.81,-6724.31,5321.26,21369.13,-6591.99,-7363.22,9541.56
1052097.7863,8755.59,2886.44,-6735.42,5302.81,21348.67,-6641.48,-7446.0,9513.81
1052097.7903,8733.66,2794.31,-6792.26,5275.97,21315.0,-6633.85,-7616.14,9554.91
1052097.7943,8742.86,2782.68,-6781.44,5305.43,21343.19,-6553.89,-7484.48,9606.65
1052097.7983,8762.55,2870.51,-6719.83,5342.87,21374.37,-6565.05,-7349.97,9576.46
1052097.8023,8762.41,2906.85,-6701.8,5348.4,21363.88,-6624.46,-7393.27,9534.17
1052097.8063,8723.93,2811.86,-6758.98,5330.9,21318.15,-6649.97,-7590.49,9554.77
1052097.8103,8712.34,2764.99,-6779.34,5336.19,21339.23,-6577.11,-7505.13,9590.77
1052097.8143,8714.58,2828.17,-6748.63,5336.43,21344.0,-6589.51,-7405.19,9546.09
1052097.8183,8715.06,2877.62,-6724.74,5346.3,21335.75,-6647.3,-7417.87,9497.31
1052097.8223,8724.6,2840.09,-6732.08,5371.81,21302.94,-6661.99,-7605.79,9527.97
1052097.8263,8734.89,2798.75,-6742.29,5398.18,21328.26,-6566.72,-7568.36,9609.61
1052097.8303,8725.45,2842.09,-6723.93,5389.4,21356.01,-6557.7,-7413.96,9580.14
1052097.8343,8717.01,2896.93,-6699.85,5381.2,21367.31,-6613.21,-7370.47,9523.92
1052097.8383,8714.15,2853.54,-6727.51,5376.05,21338.89,-6641.67,-7546.0,9541.56
1052097.8423,8708.95,2787.4,-6757.4,5380.3,21341.52,-6576.49,-7576.66,9609.22
1052097.8463,8710.58,2822.83,-6739.14,5379.82,21366.93,-6547.74,-7414.53,9601.31
1052097.8503,8719.97,2895.5,-6698.66,5387.5,21375.18,-6589.08,-7354.31,9549.62
1052097.8543,8706.67,2866.51,-6718.02,5384.45,21335.6,-6644.77,-7515.48,9526.92
1052097.8582,8691.6,2779.44,-6769.99,5370.62,21317.39,-6612.3,-7600.64,9577.75
1052097.8622,8687.97,2792.07,-6762.74,5361.37,21345.76,-6563.71,-7444.43,9589.1
1052097.8662,8693.74,2862.36,-6728.6,5355.45,21355.54,-6602.15,-7359.12,9533.41
1052097.8702,8698.13,2861.17,-6728.89,5361.22,21333.41,-6638.38,-7474.28,9527.26
1052097.8742,8683.63,2775.86,-6767.56,5361.75,21308.71,-6614.35,-7614.42,9575.89
1052097.8782,8680.39,2769.04,-6771.14,5359.6,21345.09,-6547.45,-7464.41,9599.4
1052097.8822,8695.6,2852.58,-6722.98,5372.67,21371.13,-6577.54,-7357.84,9555.01
1052097.8862,8706.76,2879.0,-6706.14,5385.02,21360.92,-6615.97,-7433.03,9542.47
1052097.8902,8700.42,2804.14,-6746.87,5380.44,21339.47,-6608.92,-7590.63,9580.52
1052097.8942,8695.22,2776.86,-6760.93,5377.91,21368.08,-6536.87,-7461.88,9612.75
1052097.8982,8702.71,2853.63,-6717.06,5385.92,21391.35,-6557.66,-7334.38,9564.88
1052097.9022,8720.54,2904.08,-6693.6,5389.5,21389.68,-6612.83,-7360.51,9520.1
1052097.9062,8699.23,2820.83,-6743.77,5366.14,21322.21,-6636.43,-7612.04,9548.0
1052097.9102,8690.98,2769.42,-6773.85,5356.22,21332.22,-6556.08,-7539.85,9603.02
1052097.9142,8696.75,2833.46,-6738.14,5359.17,21355.3,-6569.67,-7404.28,9556.91
1052097.9182,8712.29,2897.45,-6702.38,5374.77,21352.72,-6622.27,-7406.04,9510.85
1052097.9222,8702.47,2835.42,-6737.42,5374.19,21313.48,-6642.06,-7594.78,9535.08
1052097.9262,8675.86,2760.89,-6783.53,5360.79,21317.48,-6569.96,-7565.59,9598.54
1052097.9302,8687.21,2819.73,-6748.3,5365.66,21357.97,-6545.78,-7404.61,9593.87
1052097.9342,8701.61,2894.69,-6706.91,5373.53,21369.13,-6592.61,-7360.36,9535.93
1052097.9382,8712.67,2869.42,-6716.78,5385.4,21348.0,-6615.97,-7539.42,9557.68
1052097.9422,8684.21,2777.0,-6770.85,5367.57,21335.18,-6571.1,-7574.85,9600.74
1052097.9462,8679.25,2803.14,-6762.41,5360.17,21358.06,-6559.09,-7423.69,9575.75
1052097.9502,8691.6,2879.91,-6725.07,5359.41,21379.0,-6591.18,-7347.3,9532.17
1052097.9542,8696.65,2864.84,-6729.7,5362.08,21355.49,-6630.23,-7503.56,9532.6
1052097.9582,8680.01,2777.29,-6776.29,5352.45,21334.08,-6596.9,-7592.54,9584.52
1052097.9622,8682.59,2792.88,-6767.7,5352.74,21367.22,-6546.83,-7433.08,9600.16
1052097.9662,8691.6,2866.27,-6731.51,5354.98,21379.9,-6585.79,-7339.43,9543.56
1052097.9702,8680.92,2858.02,-6735.9,5353.93,21347.81,-6638.1,-7465.65,9525.92
1052097.9742,8660.89,2769.9,-6785.82,5338.1,21321.73,-6615.88,-7599.69,9574.18
1052097.9782,8664.08,2766.56,-6788.02,5339.77,21348.72,-6543.88,-7456.49,9606.36
1052097.9822,8683.11,2855.25,-6738.85,5351.97,21375.9,-6551.98,-7343.87,9584.0
1052097.9861,8670.47,2859.02,-6741.29,5347.87,21334.94,-6634.62,-7448.53,9522.49
1052097.9901,8676.63,2793.74,-6770.09,5352.4,21318.53,-6632.38,-7596.59,9554.77
1052097.9941,8672.72,2765.99,-6786.44,5340.86,21349.1,-6559.75,-7465.89,9586.62
1052097.9981,8674.57,2835.66,-6747.44,5344.06,21353.91,-6578.49,-7367.8,9548.81
1052098.0021,8677.72,2872.13,-6728.98,5345.77,21347.57,-6631.76,-7400.8,9516.81
1052098.0061,8675.53,2804.18,-6762.98,5349.21,21312.72,-6643.49,-7593.06,9540.23
1052098.0101,8675.96,2761.32,-6781.58,5354.45,21334.03,-6557.08,-7521.73,9604.74
1052098.0141,8682.54,2827.6,-6749.44,5352.93,21360.92,-6564.0,-7375.19,9569.46
1052098.0181,8692.69,2885.68,-6722.26,5353.5,21365.41,-6615.93,-7366.9,9520.01
1052098.0221,8685.54,2831.7,-6744.0,5358.84,21330.22,-6635.76,-7554.72,9543.71
1052098.0261,8672.62,2762.22,-6784.06,5350.26,21331.27,-6570.96,-7537.84,9597.87
1052098.0301,8675.24,2812.86,-6757.12,5350.07,21362.64,-6553.36,-7380.87,9578.66
1052098.0341,8689.83,2883.48,-6716.3,5358.6,21372.61,-6594.99,-7340.77,9533.55
1052098.0381,8680.39,2840.57,-6739.57,5358.03,21336.7,-6631.14,-7513.24,9539.18
1052098.0421,8662.42,2757.45,-6786.11,5347.3,21328.74,-6578.35,-7553.77,9596.78
1052098.0461,8661.22,2786.78,-6776.57,5337.95,21361.07,-6545.93,-7389.88,9595.3
1052098.0501,8668.52,2857.21,-6743.62,5335.47,21370.84,-6590.8,-7329.23,9546.23
1052098.0541,8675.39,2842.09,-6746.63,5346.58,21342.9,-6617.12,-7479.62,9559.58
1052098.0581,8663.18,2763.22,-6781.91,5346.58,21327.45,-6568.77,-7572.75,9624.29
1052098.0621,8659.65,2777.15,-6775.81,5343.58,21358.64,-6528.33,-7407.19,9620.81
1052098.0661,8674.81,2854.63,-6741.19,5347.68,21376.99,-6575.87,-7326.7,9554.39
1052098.0701,8683.01,2858.21,-6741.24,5346.44,21348.91,-6624.7,-7447.05,9534.55
1052098.0741,8665.71,2773.48,-6783.53,5340.0,21322.92,-6613.83,-7583.24,9565.78
1052098.0781,8659.94,2764.99,-6784.82,5342.44,21337.27,-6567.1,-7466.79,9562.21
1052098.0821,8675.24,2846.19,-6741.95,5350.3,21363.21,-6587.89,-7352.59,9531.69
1052098.0861,8679.44,2868.13,-6735.71,5347.16,21336.84,-6640.48,-7434.23,9508.99
1052098.0901,8680.39,2798.89,-6767.61,5352.97,21303.61,-6642.15,-7606.55,9544.18
1052098.0941,8664.61,2757.26,-6795.03,5339.67,21332.31,-6563.86,-7478.91,9587.81
1052098.0981,8679.53,2838.71,-6750.2,5342.82,21361.35,-6577.44,-7354.4,9556.58
1052098.1021,8701.23,2897.45,-6711.82,5362.42,21367.31,-6612.35,-7379.49,9541.08
1052098.1061,8670.47,2803.04,-6769.04,5341.67,21310.95,-6646.73,-7588.39,9545.66
1052098.1101,8657.12,2748.59,-6797.17,5341.2,21342.09,-6560.47,-7481.58,9606.41
1052098.114,8677.44,2824.97,-6750.39,5357.31,21383.76,-6556.61,-7318.45,9588.24
1052098.118,8694.7,2887.44,-6716.92,5367.09,21384.19,-6592.32,-7317.5,9574.56
1052098.122,8687.78,2831.98,-6739.14,5364.08,21328.17,-6624.65,-7538.51,9585.43
1052098.126,8684.83,2773.57,-6756.69,5374.0,21337.99,-6574.44,-7489.16,9584.95
1052098.13,8700.23,2838.33,-6714.63,5389.74,21364.79,-6566.1,-7346.3,9560.49
1052098.134,8727.12,2924.39,-6664.85,5408.96,21350.53,-6619.69,-7349.21,9509.99
1052098.138,8732.99,2896.4,-6666.71,5427.74,21315.96,-6648.26,-7520.34,9524.63
1052098.142,8719.16,2825.02,-6695.8,5441.57,21317.06,-6587.74,-7547.71,9585.95
1052098.146,8739.66,2875.76,-6662.23,5460.22,21355.68,-6551.46,-7386.88,9584.09
1052098.15,8761.36,2952.86,-6623.03,5461.26,21358.25,-6607.01,-7337.05,9524.44
1052098.154,8804.47,2969.69,-6607.87,5477.95,21318.01,-6661.89,-7504.65,9509.99
1052098.158,8815.24,2913.71,-6621.89,5500.13,21312.05,-6617.64,-7586.67,9568.69
1052098.162,8841.18,2953.48,-6587.12,5534.32,21357.59,-6553.27,-7424.55,9591.06
1052098.166,8861.97,3047.75,-6520.61,5562.74,21372.75,-6588.46,-7351.97,9538.79
1052098.17,8880.81,3072.17,-6500.67,5581.57,21353.06,-6631.66,-7478.05,9528.97
1052098.174,8868.6,2987.39,-6550.98,5562.35,21305.09,-6635.14,-7647.18,9552.38
1052098.178,8905.79,3013.28,-6530.62,5581.19,21336.7,-6569.34,-7518.86,9583.57
1052098.182,8949.85,3119.28,-6464.01,5602.93,21369.98,-6586.65,-7417.63,9547.9
1052098.186,8967.83,3155.47,-6439.02,5614.09,21355.06,-6633.09,-7516.81,9526.25
1052098.19,8973.79,3092.0,-6460.72,5627.3,21317.91,-6629.75,-7711.22,9568.26
1052098.194,8985.23,3079.37,-6461.57,5634.12,21351.86,-6542.4,-7599.21,9621.14
1052098.198,8994.29,3153.04,-6416.7,5640.98,21375.8,-6562.52,-7497.12,9575.7
1052098.202,9017.13,3204.63,-6392.72,5643.7,21352.91,-6631.38,-7571.41,9523.92
1052098.206,9028.48,3150.75,-6417.56,5642.61,21314.67,-6646.49,-7774.64,9548.71
1052098.21,9028.67,3107.26,-6446.12,5626.82,21333.51,-6568.34,-7706.74,9599.21
1052098.214,9045.75,3173.64,-6415.03,5618.86,21362.26,-6574.06,-7594.92,9565.16
1052098.218,9059.57,3232.43,-6387.57,5616.95,21359.45,-6633.33,-7629.06,9520.58
1052098.222,9057.48,3181.6,-6416.13,5609.51,21321.68,-6657.84,-7831.29,9537.65
1052098.226,9066.25,3135.97,-6429.77,5623.68,21340.9,-6577.78,-7805.4,9605.46
