Timestamp,Event
1686490655962,Start
1686490655962,Spacebar
1686490656478,Spacebar
1686490656662,Spacebar
1686490656818,Spacebar
1686490656944,Spacebar
1686490657088,Spacebar
1686490657229,Spacebar
1686490658040,Spacebar
1686490658249,Spacebar
1686490658422,Spacebar
1686490658583,Spacebar
1686490658730,Spacebar
1686490658880,Spacebar
1686490659626,Over
1686490662549,Start
1686490663051,Spacebar
1686490663503,Spacebar
1686490663894,Spacebar
1686490664070,Spacebar
1686490664227,Spacebar
1686490664378,Spacebar
1686490665411,Spacebar
1686490665711,Spacebar
1686490665851,Spacebar
1686490665978,Spacebar
1686490666112,Spacebar
1686490666238,Spacebar
1686490666291,Over
1686490666384,Spacebar
1686490666562,Spacebar
1686490668031,Start
1686490669228,Spacebar
1686490669958,Spacebar
1686490670122,Spacebar
1686490670303,Spacebar
1686490671792,Over
1686490676080,Start
1686490676503,Spacebar
1686490676957,Spacebar
1686490677145,Spacebar
1686490678021,Spacebar
1686490678360,Spacebar
1686490678946,Spacebar
1686490679097,Spacebar
1686490679239,Spacebar
1686490679370,Spacebar
1686490679794,Spacebar
1686490679958,Spacebar
1686490680086,Spacebar
1686490680217,Spacebar
1686490680344,Spacebar
1686490680457,Spacebar
1686490680473,Over
1686490680600,Spacebar
1686490682189,Start
1686490682577,Spacebar
1686490683137,Spacebar
1686490683765,Spacebar
1686490683917,Spacebar
1686490684056,Spacebar
1686490684179,Spacebar
1686490684315,Spacebar
1686490684444,Spacebar
1686490684892,Over
1686490684952,Spacebar
1686490686184,Start
1686490686544,Spacebar
1686490687060,Spacebar
1686490687756,Spacebar
1686490688031,Spacebar
1686490688516,Spacebar
1686490688695,Spacebar
1686490689084,Spacebar
1686490689312,Spacebar
1686490689549,Spacebar
1686490689921,Spacebar
1686490690464,Spacebar
1686490691220,Spacebar
1686490691416,Spacebar
1686490691586,Spacebar
1686490691716,Spacebar
1686490691843,Spacebar
1686490691970,Spacebar
1686490692094,Spacebar
1686490692140,Over
1686490692236,Spacebar
1686490693566,Start
1686490693978,Spacebar
1686490694536,Spacebar
1686490695028,Spacebar
1686490695490,Spacebar
1686490695761,Spacebar
1686490695927,Spacebar
1686490696067,Spacebar
1686490696202,Spacebar
1686490696843,Spacebar
1686490697311,Spacebar
1686490697468,Spacebar
1686490697633,Spacebar
1686490698044,Spacebar
1686490698821,Spacebar
1686490699029,Spacebar
1686490699168,Spacebar
1686490699298,Spacebar
1686490699428,Spacebar
1686490699565,Spacebar
1686490699639,Over
1686490699684,Spacebar
1686490701022,Start
1686490701421,Spacebar
1686490702010,Spacebar
1686490702252,Spacebar
1686490702572,Spacebar
1686490702860,Spacebar
1686490703416,Spacebar
1686490703889,Spacebar
1686490704295,Spacebar
1686490704911,Spacebar
1686490705053,Spacebar
1686490705182,Spacebar
1686490705310,Spacebar
1686490705439,Spacebar
1686490705474,Over
1686490705587,Spacebar
1686490706306,Start
1686490707045,Spacebar
1686490707695,Spacebar
1686490707880,Spacebar
1686490708046,Spacebar
1686490708185,Spacebar
1686490708318,Spacebar
1686490708462,Spacebar
1686490708600,Spacebar
1686490708744,Spacebar
1686490709149,Spacebar
1686490709744,Spacebar
1686490709927,Spacebar
1686490710100,Spacebar
1686490710561,Spacebar
1686490711311,Spacebar
1686490711531,Spacebar
1686490711727,Spacebar
1686490712121,Spacebar
1686490712994,Spacebar
1686490713282,Spacebar
1686490713421,Spacebar
1686490713546,Spacebar
1686490713684,Spacebar
1686490713807,Over
1686490713815,Spacebar
1686490714489,Start
1686490715078,Spacebar
1686490715654,Spacebar
1686490715866,Spacebar
1686490716044,Spacebar
1686490716201,Spacebar
1686490716678,Spacebar
1686490716833,Spacebar
1686490716978,Spacebar
1686490717148,Spacebar
1686490717977,Spacebar
1686490718341,Spacebar
1686490718978,Spacebar
1686490719138,Spacebar
1686490719301,Spacebar
1686490719434,Spacebar
1686490719546,Spacebar
1686490719642,Over
1686490719704,Spacebar
1686490721061,Start
1686490721549,Spacebar
1686490722086,Spacebar
1686490722394,Spacebar
1686490722552,Spacebar
1686490722678,Spacebar
1686490722831,Spacebar
1686490723611,Spacebar
1686490724161,Spacebar
1686490724310,Spacebar
1686490724461,Spacebar
1686490724613,Spacebar
1686490725012,Spacebar
1686490725161,Spacebar
1686490725306,Spacebar
1686490725611,Spacebar
1686490726101,Spacebar
1686490726399,Spacebar
1686490726745,Spacebar
1686490727094,Spacebar
1686490727944,Spacebar
1686490728140,Over
1686490729361,Start
1686490729688,Spacebar
1686490730182,Spacebar
1686490730401,Spacebar
1686490730616,Spacebar
1686490730794,Spacebar
1686490730950,Spacebar
1686490731111,Spacebar
1686490731576,Spacebar
1686490732161,Spacebar
1686490732832,Spacebar
1686490733244,Spacebar
1686490733736,Spacebar
1686490733951,Spacebar
1686490734116,Spacebar
1686490734265,Spacebar
1686490734410,Spacebar
1686490734553,Spacebar
1686490735100,Spacebar
