Timestamp,Event
1686490152016,Start
1686490152016,Spacebar
1686490152543,Spacebar
1686490153058,Spacebar
1686490153772,Spacebar
1686490153937,Spacebar
1686490154432,Spacebar
1686490154658,Spacebar
1686490154769,Spacebar
1686490154892,Spacebar
1686490155015,Spacebar
1686490155123,Spacebar
1686490155211,Over
1686490155231,Spacebar
1686490155355,Spacebar
1686490157398,Start
1686490158394,Spacebar
1686490158977,Spacebar
1686490159425,Spacebar
1686490159751,Spacebar
1686490160189,Spacebar
1686490160656,Spacebar
1686490161140,Spacebar
1686490161292,Spacebar
1686490161425,Spacebar
1686490161565,Spacebar
1686490161665,Spacebar
1686490161777,Spacebar
1686490162431,Spacebar
1686490162931,Spacebar
1686490163577,Spacebar
1686490163905,Spacebar
1686490164546,Over
1686490164605,Spacebar
1686490166103,Start
1686490166451,Spacebar
1686490166908,Spacebar
1686490167410,Spacebar
1686490167855,Spacebar
1686490168121,Spacebar
1686490168332,Spacebar
1686490168507,Spacebar
1686490169011,Spacebar
1686490169155,Spacebar
1686490169300,Spacebar
1686490170006,Spacebar
1686490170485,Spacebar
1686490171046,Over
1686490172235,Start
1686490172608,Spacebar
1686490173032,Spacebar
1686490173459,Spacebar
1686490174098,Spacebar
1686490174665,Spacebar
1686490174831,Spacebar
1686490175015,Spacebar
1686490175452,Spacebar
1686490175948,Spacebar
1686490176336,Spacebar
1686490176482,Spacebar
1686490176624,Spacebar
1686490176765,Spacebar
1686490177540,Spacebar
1686490177924,Spacebar
1686490178333,Spacebar
1686490178866,Spacebar
1686490179276,Spacebar
1686490179781,Spacebar
1686490180224,Spacebar
1686490180483,Spacebar
1686490180615,Spacebar
1686490180738,Spacebar
1686490180856,Spacebar
1686490180977,Spacebar
1686490181046,Over
1686490181087,Spacebar
1686490181932,Start
1686490182456,Spacebar
1686490182944,Spacebar
1686490183432,Spacebar
1686490183902,Spacebar
1686490184364,Spacebar
1686490184815,Spacebar
1686490185415,Spacebar
1686490186044,Spacebar
1686490186352,Spacebar
1686490186490,Spacebar
1686490186638,Spacebar
1686490186770,Spacebar
1686490187216,Spacebar
1686490187452,Spacebar
1686490187598,Spacebar
1686490187726,Spacebar
1686490187882,Spacebar
1686490188584,Spacebar
1686490189242,Spacebar
1686490189636,Spacebar
1686490189841,Spacebar
1686490190015,Spacebar
1686490190149,Spacebar
1686490190660,Spacebar
1686490190843,Spacebar
1686490191215,Spacebar
1686490191715,Spacebar
1686490192574,Spacebar
1686490193032,Spacebar
1686490193415,Spacebar
1686490193885,Spacebar
1686490193998,Spacebar
1686490194110,Spacebar
1686490194224,Spacebar
1686490194336,Spacebar
1686490194379,Over
1686490194448,Spacebar
1686490194564,Spacebar
1686490195491,Start
1686490195781,Spacebar
1686490196368,Spacebar
1686490196766,Spacebar
1686490197276,Spacebar
1686490197571,Spacebar
1686490197919,Spacebar
1686490198539,Spacebar
1686490198808,Spacebar
1686490198932,Spacebar
1686490199054,Spacebar
1686490199171,Spacebar
1686490199289,Spacebar
1686490199379,Over
1686490199407,Spacebar
1686490199519,Spacebar
1686490200623,Start
1686490201073,Spacebar
1686490201682,Spacebar
1686490202102,Spacebar
1686490202359,Spacebar
1686490202660,Spacebar
1686490202865,Spacebar
1686490203025,Spacebar
1686490203180,Spacebar
1686490203323,Spacebar
1686490203686,Spacebar
1686490204377,Over
1686490205803,Start
1686490206155,Spacebar
1686490206656,Spacebar
1686490206953,Spacebar
1686490207269,Spacebar
1686490207611,Spacebar
1686490207981,Spacebar
1686490208382,Spacebar
1686490208664,Spacebar
1686490208824,Spacebar
1686490209305,Spacebar
1686490209928,Spacebar
1686490210518,Spacebar
1686490211046,Over
1686490212392,Start
1686490212675,Spacebar
1686490213133,Spacebar
1686490213522,Spacebar
1686490214091,Spacebar
1686490214553,Spacebar
1686490215182,Spacebar
1686490215481,Spacebar
1686490215605,Spacebar
1686490215732,Spacebar
1686490215857,Spacebar
1686490215975,Spacebar
1686490216315,Spacebar
1686490217002,Spacebar
1686490217181,Spacebar
1686490217523,Spacebar
1686490217698,Spacebar
1686490218581,Spacebar
1686490219083,Spacebar
1686490219547,Spacebar
1686490219674,Spacebar
1686490219797,Spacebar
1686490219914,Spacebar
1686490220040,Spacebar
1686490220166,Spacebar
1686490220211,Over
1686490221248,Start
1686490221548,Spacebar
1686490221993,Spacebar
1686490222303,Spacebar
