TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389827.9268,3220.56,13700.15,34426.6,34232.57,24680.52,28412.25,13413.86,8230.16
1389827.9288,3743.17,13780.12,34424.6,34225.47,24664.88,28441.91,13532.12,8203.6
1389827.9308,4094.03,13871.81,34414.96,34208.44,24644.9,28468.04,13641.31,8188.11
1389827.9328,4064.08,13916.54,34407.91,34201.58,24638.37,28459.36,13687.09,8192.97
1389827.9348,3641.75,13913.35,34402.04,34198.38,24639.66,28431.04,13658.53,8201.5
1389827.9368,2961.3,13810.83,34398.37,34203.58,24656.82,28393.27,13520.29,8217.29
1389827.9388,2562.33,13707.5,34405.09,34219.22,24677.95,28369.86,13386.3,8233.26
1389827.9408,2639.25,13671.16,34431.46,34249.98,24699.93,28390.32,13342.57,8254.72
1389827.9428,3067.21,13694.0,34436.09,34244.68,24694.02,28415.16,13381.77,8250.48
1389827.9448,3567.31,13749.36,34430.22,34233.53,24676.33,28440.1,13474.42,8234.84
1389827.9468,4014.3,13838.01,34416.58,34215.17,24647.95,28456.88,13599.49,8209.13
1389827.9488,4099.89,13892.46,34401.18,34193.04,24632.36,28469.52,13691.57,8195.59
1389827.9508,3834.39,13916.4,34398.94,34196.33,24633.84,28452.78,13695.67,8199.36
1389827.9528,3183.75,13847.35,34405.57,34206.92,24654.44,28412.77,13582.23,8216.05
1389827.9548,2678.92,13750.41,34426.5,34235.62,24688.1,28393.75,13444.14,8244.09
1389827.9568,2543.5,13659.76,34426.93,34230.9,24692.97,28372.77,13333.13,8233.5
1389827.9588,2895.02,13653.23,34423.59,34220.03,24686.96,28388.12,13340.62,8228.68
1389827.9608,3384.3,13713.31,34436.04,34221.7,24686.05,28426.13,13438.04,8243.23
1389827.9628,3897.14,13804.34,34423.16,34206.35,24656.54,28442.15,13564.06,8222.06
1389827.9648,4089.4,13865.9,34399.7,34178.4,24631.84,28449.63,13661.67,8196.4
1389827.9668,3972.72,13909.96,34394.55,34180.26,24631.55,28446.15,13702.35,8194.88
1389827.9688,3397.61,13863.33,34381.35,34176.88,24632.17,28405.1,13612.8,8196.55
1389827.9708,2787.07,13755.51,34389.4,34188.37,24651.82,28367.28,13462.45,8216.1
1389827.9728,2508.88,13665.87,34412.1,34210.4,24680.43,28356.56,13345.39,8242.75
1389827.9748,2765.27,13665.34,34441.43,34243.16,24698.21,28384.4,13335.42,8265.4
1389827.9768,3210.16,13701.06,34447.29,34245.92,24693.78,28419.16,13408.47,8260.11
1389827.9788,3746.46,13776.97,34439.14,34240.97,24675.66,28447.68,13530.49,8232.31
1389827.9808,4074.48,13861.09,34424.5,34223.37,24657.68,28465.56,13651.8,8209.8
1389827.9828,4075.91,13909.48,34410.15,34208.21,24642.57,28461.17,13709.93,8190.82
1389827.9848,3624.54,13895.32,34405.76,34198.34,24645.47,28426.32,13656.86,8188.39
1389827.9868,2982.19,13810.35,34415.01,34207.44,24665.84,28388.12,13526.73,8208.99
1389827.9888,2540.54,13696.58,34412.82,34208.16,24673.75,28354.7,13373.9,8218.0
1389827.9908,2614.26,13657.67,34421.02,34222.32,24681.76,28358.22,13312.25,8228.35
1389827.9928,3022.24,13679.65,34423.31,34224.8,24676.95,28384.64,13355.78,8228.83
1389827.9948,3562.83,13751.56,34425.31,34233.72,24670.37,28426.08,13470.08,8221.82
1389827.9968,4001.9,13847.64,34414.1,34219.41,24649.77,28459.36,13603.69,8203.08
1389827.9988,4109.29,13907.58,34398.85,34196.09,24633.46,28470.33,13692.86,8189.54
1389828.0008,3828.19,13922.79,34390.12,34184.75,24629.79,28453.64,13691.47,8186.63
1389828.0028,3201.63,13854.46,34391.69,34194.52,24644.33,28412.73,13583.57,8202.79
1389828.0048,2657.03,13744.98,34402.09,34213.26,24665.79,28364.23,13434.6,8225.68
1389828.0068,2554.42,13677.22,34427.84,34235.53,24687.1,28361.37,13336.23,8244.42
1389828.0088,2893.35,13683.75,34444.86,34241.87,24691.25,28386.88,13344.15,8247.33
1389828.0108,3399.09,13739.16,34453.63,34242.01,24689.63,28428.99,13443.28,8245.85
1389828.0128,3904.01,13827.85,34440.43,34223.99,24671.8,28463.32,13578.08,8225.97
1389828.0148,4109.53,13877.87,34403.95,34182.55,24636.65,28456.74,13663.63,8187.87
1389828.0168,3972.05,13912.58,34392.74,34179.02,24626.4,28448.63,13700.77,8177.33
1389828.0188,3418.78,13872.15,34389.93,34187.37,24634.55,28410.15,13618.85,8183.43
1389828.0208,2796.75,13763.86,34392.74,34199.15,24656.35,28364.47,13458.78,8204.75
1389828.0228,2514.79,13670.54,34413.72,34224.09,24684.19,28350.5,13333.89,8234.79
1389828.0248,2753.07,13668.16,34436.66,34244.11,24699.79,28373.05,13322.74,8254.82
1389828.0268,3199.77,13701.01,34440.95,34242.4,24694.83,28404.67,13389.68,8249.9
1389828.0288,3746.99,13788.18,34441.62,34233.76,24680.67,28448.63,13520.62,8229.64
1389828.0308,4094.08,13876.96,34435.42,34219.84,24663.17,28483.3,13653.33,8213.66
1389828.0328,4093.03,13929.65,34417.3,34203.34,24644.09,28471.76,13711.26,8198.07
1389828.0348,3644.61,13907.29,34397.56,34193.09,24636.03,28436.28,13662.72,8191.01
1389828.0368,3001.83,13820.32,34400.51,34200.53,24653.34,28401.14,13536.6,8206.56
1389828.0388,2575.45,13721.18,34420.4,34225.85,24681.52,28388.07,13406.04,8233.98
1389828.0408,2654.51,13692.43,34440.0,34251.41,24701.07,28397.28,13352.87,8254.1
1389828.0428,3054.52,13715.65,34452.2,34256.7,24704.51,28426.41,13384.25,8254.2
1389828.0448,3587.96,13783.98,34451.3,34245.3,24688.2,28459.31,13494.11,8230.11
1389828.0468,4016.45,13874.2,34445.39,34240.35,24670.99,28484.3,13626.86,8213.38
1389828.0488,4147.2,13935.76,34428.93,34228.14,24647.67,28488.93,13720.47,8199.17
1389828.0508,3836.49,13922.41,34394.27,34206.78,24623.3,28447.2,13692.48,8181.14
1389828.0528,3220.89,13856.13,34392.74,34206.87,24639.04,28401.19,13568.83,8199.55
1389828.0548,2650.4,13738.16,34403.23,34213.36,24666.07,28371.34,13403.27,8225.01
1389828.0568,2557.95,13676.98,34423.78,34231.48,24686.24,28360.8,13317.97,8244.85
1389828.0588,2869.99,13676.6,34431.84,34231.33,24684.53,28370.48,13335.18,8246.52
1389828.0608,3379.06,13731.48,34430.65,34228.28,24673.51,28411.49,13433.27,8232.55
1389828.0628,3875.64,13819.93,34430.65,34220.37,24662.02,28459.55,13573.55,8219.0
1389828.0648,4137.23,13902.57,34423.88,34207.49,24646.24,28484.68,13689.71,8203.22
1389828.0668,3994.51,13937.05,34417.54,34200.86,24645.19,28478.82,13730.0,8197.45
1389828.0688,3467.85,13901.57,34409.96,34206.11,24654.92,28440.96,13645.22,8209.09
1389828.0708,2816.73,13782.98,34407.29,34213.59,24673.18,28365.28,13472.18,8224.82
1389828.0728,2540.3,13686.9,34414.92,34226.61,24687.01,28343.25,13346.29,8238.84
1389828.0748,2736.43,13669.92,34434.27,34246.16,24699.02,28368.38,13322.07,8251.14
1389828.0768,3211.78,13708.78,34444.72,34250.64,24695.4,28416.4,13394.26,8246.57
1389828.0788,3730.3,13782.31,34439.38,34239.87,24676.37,28460.27,13517.76,8226.35
1389828.0808,4097.03,13871.86,34429.08,34229.62,24652.25,28487.5,13642.69,8202.51
1389828.0828,4086.54,13928.18,34425.31,34223.75,24644.81,28499.51,13718.42,8196.74
