TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389938.7828,2774.43,12823.01,34136.2,33335.4,24622.01,28059.01,12575.53,8685.49
1389938.7848,3232.24,12862.25,34140.59,33333.45,24615.2,28086.71,12658.79,8678.72
1389938.7868,3738.02,12936.07,34135.15,33318.09,24598.6,28119.71,12781.81,8657.12
1389938.7888,3963.66,13006.26,34125.28,33298.69,24584.34,28141.45,12891.2,8640.96
1389938.7908,3861.09,13039.07,34109.74,33284.81,24571.8,28127.82,12929.06,8632.57
1389938.7928,3317.64,13007.64,34096.72,33276.51,24573.23,28088.81,12856.77,8638.62
1389938.7948,2710.39,12913.85,34099.54,33289.01,24596.46,28044.99,12705.61,8658.17
1389938.7968,2413.51,12827.73,34109.07,33303.41,24613.19,28017.91,12576.44,8672.48
1389938.7988,2603.86,12795.12,34115.22,33307.79,24613.96,28009.56,12534.57,8670.0
1389938.8008,3039.65,12814.67,34115.32,33300.5,24605.42,28035.31,12592.51,8658.36
1389938.8028,3566.07,12886.05,34118.04,33294.11,24591.5,28086.86,12719.97,8647.16
1389938.8048,3916.84,12977.46,34117.85,33290.49,24575.95,28122.86,12852.86,8634.23
1389938.8068,3915.79,13012.51,34098.53,33274.7,24554.4,28116.52,12909.41,8615.69
1389938.8088,3498.7,12997.58,34074.69,33254.34,24539.38,28076.13,12860.73,8597.61
1389938.8108,2859.31,12921.0,34081.94,33263.5,24565.51,28030.3,12728.5,8619.5
1389938.8128,2435.11,12830.4,34089.43,33278.04,24587.16,27997.74,12592.13,8642.15
1389938.8148,2480.08,12791.44,34104.92,33299.35,24607.09,28017.0,12523.51,8658.74
1389938.8168,2892.11,12816.38,34114.17,33311.32,24610.95,28074.46,12573.63,8657.08
1389938.8188,3397.7,12874.08,34113.22,33311.37,24602.13,28116.13,12678.34,8649.49
1389938.8208,3834.44,12953.0,34096.67,33297.07,24575.52,28114.51,12803.08,8624.6
1389938.8228,3949.31,13002.44,34085.66,33279.8,24560.12,28096.63,12891.68,8612.44
1389938.8248,3713.32,13031.87,34080.75,33275.75,24556.59,28084.95,12897.06,8611.87
1389938.8268,3080.8,12970.59,34078.79,33276.56,24566.75,28040.94,12781.29,8627.46
1389938.8288,2549.46,12870.84,34087.52,33291.34,24586.63,28005.56,12635.8,8651.64
1389938.8308,2412.18,12798.07,34102.4,33307.37,24605.37,27995.69,12539.53,8664.7
1389938.8328,2757.6,12814.38,34130.39,33336.02,24625.78,28027.44,12565.19,8680.96
1389938.8348,3220.51,12855.44,34137.87,33330.59,24623.87,28067.93,12651.78,8675.24
1389938.8368,3722.0,12920.57,34112.41,33295.54,24587.92,28090.38,12761.64,8640.43
1389938.8388,3940.06,12974.12,34092.1,33260.64,24557.16,28104.26,12861.21,8610.92
1389938.8408,3835.06,13008.98,34077.51,33247.38,24543.81,28094.49,12897.83,8599.95
1389938.8428,3284.22,12974.17,34068.73,33249.19,24550.01,28055.24,12817.67,8608.72
1389938.8448,2686.31,12882.9,34071.12,33258.87,24564.13,28012.14,12671.9,8620.55
1389938.8468,2392.24,12800.46,34093.53,33287.72,24592.4,27997.4,12554.74,8644.92
1389938.8488,2605.58,12787.87,34110.22,33306.89,24601.89,28017.33,12536.48,8655.6
1389938.8508,3027.49,12811.38,34114.98,33306.51,24593.55,28052.86,12598.13,8648.35
1389938.8528,3577.47,12893.15,34120.95,33311.23,24581.82,28093.53,12719.73,8622.36
1389938.8548,3910.45,12964.68,34111.65,33297.3,24564.84,28118.76,12837.08,8604.72
1389938.8568,3927.66,13010.74,34094.86,33280.81,24552.06,28117.66,12901.69,8605.91
1389938.8588,3509.24,13007.07,34081.75,33273.61,24557.45,28085.38,12863.97,8617.59
1389938.8608,2883.34,12933.68,34078.65,33282.0,24574.52,28038.65,12734.99,8637.52
1389938.8628,2431.35,12827.78,34090.19,33294.01,24598.27,28009.04,12595.94,8660.99
1389938.8648,2498.63,12788.2,34103.49,33304.31,24609.9,28016.14,12535.48,8670.28
1389938.8668,2880.43,12803.84,34116.61,33309.13,24612.81,28058.34,12577.25,8672.86
1389938.8688,3414.11,12870.98,34130.05,33318.48,24611.19,28112.7,12692.64,8671.81
1389938.8708,3824.95,12931.01,34105.73,33295.16,24578.86,28119.85,12800.17,8635.9
1389938.8728,3956.99,12978.08,34079.89,33269.84,24548.96,28110.89,12879.9,8603.81
1389938.8748,3686.0,12996.39,34072.59,33263.88,24546.77,28080.8,12886.1,8602.76
1389938.8768,3078.03,12938.41,34067.87,33254.44,24555.64,28036.07,12778.47,8616.78
1389938.8788,2529.57,12845.66,34083.13,33273.03,24591.4,28007.08,12637.57,8649.3
1389938.8808,2431.92,12792.87,34110.84,33306.22,24614.96,28008.89,12551.83,8670.0
