TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389585.9695,4202.46,15448.86,36286.02,37401.87,25660.28,29360.97,15345.0,8142.9
1389585.9715,3272.01,15368.61,36271.62,37401.16,25659.61,29286.05,15181.11,8150.29
1389585.9735,2140.81,15161.66,36285.45,37419.99,25695.99,29211.48,14867.69,8192.21
1389585.9755,1582.48,14971.07,36319.83,37458.85,25739.96,29184.3,14606.19,8239.27
1389585.9775,2005.01,14943.74,36354.69,37487.23,25762.23,29224.83,14587.83,8259.06
1389585.9795,2803.47,15028.1,36359.55,37479.98,25755.22,29283.67,14757.4,8253.29
1389585.9815,3690.86,15174.53,36340.29,37453.8,25723.51,29337.98,14990.95,8219.05
1389585.9835,4293.78,15337.33,36311.06,37407.02,25686.41,29359.2,15225.27,8179.52
1389585.9855,4314.14,15429.16,36290.51,37376.6,25668.77,29353.81,15347.29,8159.54
1389585.9875,3647.38,15410.09,36275.92,37375.6,25666.38,29311.28,15262.18,8152.53
1389585.9895,2485.47,15239.62,36284.26,37408.64,25691.13,29237.89,14962.91,8173.47
1389585.9915,1669.41,15033.15,36320.4,37464.81,25739.82,29199.84,14677.91,8220.63
1389585.9935,1775.88,14940.26,36361.03,37502.82,25778.06,29215.67,14569.81,8251.62
1389585.9955,2528.48,14996.44,36370.71,37492.04,25779.3,29261.02,14685.06,8238.51
1389585.9975,3395.61,15131.9,36367.09,37473.35,25759.56,29325.11,14911.84,8215.91
1389585.9995,4169.04,15309.19,36345.2,37443.31,25720.74,29364.4,15165.62,8182.29
1389586.0015,4377.17,15421.92,36309.39,37406.5,25680.5,29370.93,15322.88,8151.2
1389586.0035,3979.35,15448.76,36290.13,37393.77,25664.52,29346.52,15321.92,8143.47
1389586.0055,2887.2,15319.54,36290.08,37409.79,25678.54,29269.17,15085.75,8164.65
1389586.0075,1863.05,15097.24,36306.43,37435.15,25716.93,29205.33,14757.59,8197.69
1389586.0095,1628.26,14955.28,36344.72,37476.35,25764.09,29203.13,14566.38,8238.75
1389586.0115,2255.73,14976.12,36367.33,37488.89,25775.34,29251.82,14616.87,8242.56
1389586.0135,3085.42,15079.07,36365.89,37468.87,25756.41,29309.42,14815.0,8219.2
1389586.0155,3954.7,15258.03,36354.59,37440.21,25728.75,29374.79,15093.76,8201.93
1389586.0175,4390.43,15412.71,36332.66,37419.23,25700.95,29407.84,15318.92,8185.1
1389586.0195,4213.24,15473.56,36302.9,37400.49,25677.87,29385.43,15380.77,8154.54
1389586.0215,3304.05,15394.4,36286.26,37396.77,25678.64,29312.14,15198.95,8142.95
1389586.0235,2155.26,15188.12,36301.76,37427.57,25714.31,29239.09,14873.7,8194.16
1389586.0255,1600.55,14997.77,36338.76,37469.77,25760.22,29223.11,14620.69,8258.49
1389586.0275,1998.71,14966.2,36369.9,37491.14,25784.3,29260.78,14599.75,8279.42
1389586.0295,2803.14,15042.02,36372.28,37485.22,25779.15,29303.65,14750.77,8264.54
1389586.0315,3687.91,15197.56,36360.22,37467.63,25757.13,29339.32,14983.23,8240.51
1389586.0335,4301.26,15363.03,36332.66,37439.3,25720.17,29377.94,15223.41,8207.42
1389586.0355,4318.76,15445.62,36290.94,37396.86,25678.02,29370.41,15331.41,8168.84
1389586.0375,3652.14,15415.0,36269.1,37378.41,25663.05,29313.95,15245.01,8155.54
1389586.0395,2486.37,15240.72,36279.02,37392.19,25691.08,29228.36,14964.2,8179.76
1389586.0415,1659.2,15024.33,36308.58,37435.01,25730.52,29177.14,14671.66,8211.66
1389586.0435,1751.38,14939.74,36344.44,37486.84,25761.27,29191.07,14561.27,8239.65
1389586.0455,2506.07,14993.34,36359.7,37496.19,25765.71,29256.78,14674.9,8241.85
1389586.0475,3369.0,15121.94,36349.59,37471.44,25742.92,29315.43,14895.25,8219.39
1389586.0495,4135.9,15287.88,36328.46,37434.63,25710.78,29355.34,15143.49,8186.91
1389586.0515,4369.21,15415.81,36301.28,37399.25,25680.78,29365.69,15311.43,8162.17
1389586.0535,3967.24,15442.33,36283.83,37383.27,25666.96,29339.13,15310.43,8150.72
1389586.0555,2909.42,15331.46,36286.31,37402.06,25687.51,29269.13,15094.76,8165.41
1389586.0575,1881.08,15109.45,36310.49,37432.29,25731.23,29211.52,14781.14,8201.03
1389586.0595,1641.42,14962.63,36342.43,37473.49,25767.95,29204.23,14593.94,8225.16
1389586.0615,2232.79,14968.11,36360.79,37487.18,25773.24,29251.01,14631.8,8228.16
1389586.0635,3076.6,15077.07,36356.12,37474.88,25753.64,29305.46,14823.44,8214.43
1389586.0655,3920.51,15238.0,36339.48,37441.78,25720.6,29360.39,15082.22,8191.87
1389586.0675,4372.07,15387.25,36309.06,37400.73,25681.26,29382.8,15298.51,8165.22
1389586.0695,4171.8,15437.13,36279.59,37373.45,25656.61,29355.2,15342.76,8145.43
1389586.0715,3310.82,15376.43,36272.2,37389.24,25663.14,29293.35,15170.72,8146.72
1389586.0735,2142.38,15166.71,36287.84,37422.8,25700.91,29221.49,14851.14,8174.61
1389586.0755,1611.19,14988.0,36328.56,37477.78,25751.16,29198.41,14610.96,8218.96
1389586.0775,1967.57,14948.75,36360.74,37503.53,25780.11,29224.73,14574.72,8239.65
1389586.0795,2799.23,15039.3,36366.13,37490.75,25771.05,29286.34,14740.52,8230.35
1389586.0815,3654.77,15186.69,36357.22,37461.57,25744.01,29349.24,14983.94,8211.09
1389586.0835,4308.51,15353.25,36331.56,37423.9,25703.96,29382.71,15221.69,8186.96
1389586.0855,4301.41,15437.18,36299.04,37395.77,25671.63,29380.75,15336.47,8159.69
1389586.0875,3682.18,15417.53,36274.82,37382.42,25661.28,29327.83,15265.18,8143.86
1389586.0895,2502.16,15249.64,36288.5,37404.49,25697.52,29255.82,14992.29,8183.86
1389586.0915,1706.98,15036.87,36315.73,37438.21,25740.05,29200.61,14693.07,8234.98
1389586.0935,1749.75,14938.79,36349.63,37473.4,25770.76,29200.03,14573.62,8262.21
1389586.0955,2528.48,15000.68,36377.63,37497.43,25782.02,29275.09,14701.51,8265.97
1389586.0975,3364.99,15134.29,36379.15,37484.6,25765.8,29336.89,14922.81,8249.33
1389586.0995,4159.88,15300.23,36350.45,37447.55,25715.16,29368.21,15161.56,8202.27
1389586.1015,4356.15,15407.61,36305.1,37407.55,25663.81,29358.06,15298.18,8153.58
1389586.1035,3973.15,15426.21,36278.3,37391.95,25639.2,29322.44,15277.82,8127.26
1389586.1055,2888.16,15301.52,36274.49,37398.87,25655.89,29242.23,15053.89,8135.42
1389586.1075,1874.49,15088.32,36302.0,37441.45,25707.68,29177.81,14753.06,8181.57
1389586.1095,1599.22,14939.64,36329.08,37481.46,25752.98,29162.55,14567.38,8227.3
1389586.1115,2214.81,14955.47,36351.26,37490.9,25769.81,29216.58,14609.58,8248.33
1389586.1135,3052.71,15071.06,36352.26,37468.06,25755.74,29285.86,14803.36,8239.13
1389586.1155,3909.49,15232.52,36337.71,37438.11,25719.79,29345.66,15037.2,8207.04
1389586.1175,4346.42,15383.01,36308.72,37398.91,25682.6,29372.17,15249.16,8180.19
1389586.1195,4180.81,15441.23,36287.98,37382.85,25671.53,29358.77,15317.73,8170.56
1389586.1215,3323.75,15387.92,36283.12,37398.39,25683.45,29290.39,15184.31,8170.08
1389586.1235,2170.99,15188.65,36300.95,37431.53,25728.28,29225.5,14885.19,8206.65
1389586.1255,1620.01,15004.35,36330.75,37474.45,25767.19,29202.18,14632.27,8243.9
1389586.1275,1955.13,14947.08,36346.87,37494.81,25774.63,29221.78,14575.77,8253.19
1389586.1295,2771.23,15029.62,36347.78,37487.08,25761.37,29271.65,14732.74,8244.09
1389586.1315,3617.48,15171.82,36335.62,37462.62,25730.28,29320.39,14963.39,8207.61
1389586.1335,4288.29,15348.72,36316.59,37440.69,25695.28,29364.78,15205.34,8159.59
1389586.1355,4304.84,15436.56,36301.62,37413.36,25677.73,29374.75,15325.12,8144.19
1389586.1375,3708.32,15430.93,36287.6,37391.81,25667.81,29328.3,15262.37,8141.61
1389586.1395,2512.22,15244.53,36286.5,37399.44,25682.26,29242.14,14978.6,8155.87
1389586.1415,1704.88,15026.76,36304.29,37419.47,25714.59,29184.63,14689.4,8190.01
1389586.1435,1723.91,14918.85,36330.99,37443.74,25746.35,29180.43,14552.93,8222.87
1389586.1455,2506.16,14987.52,36349.73,37456.8,25756.03,29242.09,14659.12,8245.14
1389586.1475,3334.52,15118.89,36348.54,37453.18,25747.45,29313.09,14871.89,8245.04
1389586.1495,4158.07,15301.85,36332.09,37430.53,25718.74,29364.97,15142.16,8214.62
1389586.1515,4358.67,15412.48,36300.95,37393.53,25683.36,29370.12,15299.27,8164.36
1389586.1535,4009.06,15443.71,36281.73,37388.66,25663.14,29338.17,15295.17,8134.22
1389586.1555,2916.96,15324.59,36285.64,37410.6,25680.35,29267.46,15079.98,8158.49
1389586.1575,1927.42,15120.89,36307.53,37448.08,25720.98,29202.61,14775.9,8207.85
1389586.1595,1616.1,14957.72,36335.14,37483.17,25750.69,29189.97,14572.57,8233.21
1389586.1615,2236.89,14965.2,36356.6,37496.43,25759.94,29239.23,14611.77,8234.31
1389586.1635,3040.98,15065.91,36358.69,37486.22,25753.79,29301.31,14799.41,8228.73
1389586.1655,3927.47,15234.9,36342.15,37457.23,25729.85,29354.96,15066.43,8210.66
1389586.1675,4350.81,15377.33,36307.29,37405.78,25696.23,29369.41,15271.47,8186.34
1389586.1695,4221.96,15445.85,36288.31,37380.22,25679.07,29348.42,15320.97,8174.66
1389586.1715,3337.62,15382.34,36283.78,37381.18,25686.12,29287.68,15172.67,8173.51
1389586.1735,2213.67,15186.6,36303.0,37415.99,25720.74,29216.67,14869.41,8207.32
1389586.1755,1611.66,14989.76,36336.14,37454.47,25758.32,29189.02,14615.87,8250.19
1389586.1775,1976.63,14943.89,36360.6,37482.17,25774.39,29219.77,14574.72,8265.35
1389586.1795,2763.75,15018.66,36363.94,37476.5,25768.28,29277.14,14727.5,8255.29
1389586.1815,3639.51,15162.61,36348.73,37458.62,25741.15,29333.74,14960.91,8227.78
1389586.1835,4269.98,15323.78,36311.49,37421.8,25699.33,29367.74,15193.04,8183.15
1389586.1855,4319.95,15418.91,36282.11,37384.51,25667.38,29362.92,15313.05,8146.14
1389586.1875,3695.87,15406.75,36267.48,37371.83,25657.85,29309.66,15253.35,8126.16
1389586.1895,2545.93,15244.3,36282.31,37397.25,25685.22,29236.32,14995.05,8147.81
1389586.1915,1699.92,15031.96,36316.4,37433.44,25728.85,29191.78,14695.26,8193.35
1389586.1935,1743.75,14924.29,36348.82,37469.25,25753.93,29201.99,14544.68,8223.49
1389586.1955,2478.5,14974.17,36357.45,37468.96,25752.64,29251.48,14639.28,8226.68
1389586.1975,3331.28,15107.25,36357.69,37469.3,25743.44,29316.33,14867.02,8223.11
1389586.1995,4122.11,15282.11,36331.42,37454.23,25710.73,29356.05,15125.51,8193.3
1389586.2015,4362.49,15402.6,36299.19,37414.84,25677.3,29365.83,15294.51,8157.83
1389586.2035,3998.14,15435.89,36277.73,37383.13,25661.76,29337.84,15304.71,8147.62
1389586.2055,2952.0,15324.64,36278.44,37387.76,25682.26,29268.79,15095.47,8170.99
1389586.2075,1918.7,15108.11,36300.19,37414.79,25718.6,29209.38,14783.05,8197.5
1389586.2095,1619.82,14944.6,36327.51,37453.94,25746.3,29190.78,14571.62,8223.96
1389586.2115,2210.28,14956.48,36345.92,37476.07,25753.74,29241.57,14607.34,8237.22
1389586.2135,3029.73,15056.8,36339.91,37461.24,25738.62,29303.79,14802.27,8222.1
1389586.2155,3905.77,15231.9,36332.33,37438.83,25710.16,29361.54,15067.67,8193.02
1389586.2175,4357.39,15382.01,36307.24,37408.07,25679.54,29388.0,15288.4,8156.25
1389586.2195,4211.0,15444.47,36280.97,37385.56,25660.18,29364.3,15344.24,8147.34
1389586.2215,3346.59,15376.0,36269.24,37384.75,25667.96,29302.41,15171.48,8160.54
1389586.2235,2202.42,15178.83,36277.87,37401.39,25705.91,29232.55,14852.91,8193.97
1389586.2255,1609.85,14989.09,36316.35,37445.12,25750.54,29194.31,14600.18,8239.08
1389586.2275,1962.57,14952.28,36343.1,37473.35,25765.85,29221.59,14566.76,8254.72
1389586.2295,2755.59,15025.0,36343.15,37466.53,25752.17,29278.0,14722.59,8241.42
1389586.2315,3627.11,15166.57,36322.31,37441.54,25715.88,29329.88,14956.05,8203.89
1389586.2335,4265.74,15327.41,36300.52,37415.18,25683.98,29363.92,15190.84,8173.51
1389586.2355,4328.54,15424.35,36276.92,37386.04,25663.28,29367.55,15317.97,8146.29
1389586.2375,3715.99,15415.15,36270.15,37381.13,25667.81,29328.87,15258.65,8146.1
1389586.2395,2567.1,15254.31,36274.63,37390.52,25691.66,29242.71,14986.14,8171.85
1389586.2415,1716.28,15037.11,36301.19,37422.85,25730.09,29192.64,14691.07,8205.84
1389586.2435,1751.71,14937.35,36333.9,37463.14,25755.79,29198.98,14560.22,8229.4
1389586.2455,2475.64,14981.32,36346.58,37478.36,25754.45,29253.01,14655.54,8220.72
1389586.2475,3338.29,15119.51,36346.11,37472.92,25737.19,29324.77,14877.85,8202.51
1389586.2495,4120.73,15292.84,36325.41,37450.7,25704.43,29380.09,15137.01,8176.71
1389586.2515,4380.08,15416.19,36288.55,37404.92,25670.2,29386.95,15305.81,8148.62
1389586.2535,4005.62,15436.7,36268.91,37375.17,25657.9,29348.9,15306.67,8142.85
