TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133110.2918,-2634.33,24437.81,10955.48,39888.24,37322.1,27803.04
1133110.2938,-2668.67,24488.26,11156.18,39911.94,37393.62,27847.01
1133110.2958,-2692.7,24514.96,11297.13,39918.24,37436.54,27876.19
1133110.2978,-2690.51,24548.58,11466.7,39937.21,37501.05,27911.95
1133110.2998,-2727.6,24526.65,11520.58,39912.56,37502.72,27898.98
1133110.3018,-2737.24,24481.97,11388.45,39893.35,37451.99,27868.08
1133110.3038,-2722.26,24458.36,11215.88,39886.19,37393.0,27828.6
1133110.3058,-2721.12,24437.0,11054.66,39879.28,37342.03,27802.85
1133110.3078,-2700.62,24421.03,10918.81,39876.37,37300.54,27790.69
1133110.3098,-2678.39,24483.54,11103.44,39910.99,37373.45,27838.76
1133110.3118,-2690.94,24514.34,11256.6,39918.62,37422.76,27865.6
1133110.3138,-2721.26,24532.99,11396.89,39924.53,37471.16,27890.88
1133110.3158,-2701.71,24541.33,11525.44,39928.06,37516.79,27914.48
1133110.3178,-2662.37,24514.25,11454.97,39913.33,37492.76,27895.93
1133110.3198,-2637.24,24478.3,11269.95,39900.69,37426.67,27853.49
1133110.3218,-2640.39,24456.03,11131.67,39892.82,37377.22,27825.84
1133110.3238,-2648.31,24415.97,10920.43,39870.79,37302.12,27787.45
1133110.3258,-2658.08,24459.84,11028.2,39892.3,37340.36,27817.01
1133110.3278,-2670.72,24498.27,11210.16,39914.52,37405.45,27856.02
1133110.3298,-2694.32,24523.64,11351.73,39921.81,37453.85,27882.34
1133110.3318,-2721.07,24542.29,11491.2,39931.49,37506.87,27909.09
1133110.3338,-2731.99,24525.22,11503.13,39919.62,37506.49,27901.08
1133110.3358,-2744.1,24482.68,11327.08,39895.54,37437.63,27854.49
1133110.3378,-2710.2,24474.67,11197.76,39900.36,37397.44,27830.89
1133110.3398,-2689.7,24421.17,10971.17,39873.99,37315.42,27787.21
1133110.3418,-2705.19,24436.38,10957.86,39885.67,37317.61,27798.61
1133110.3438,-2707.29,24484.92,11145.02,39911.51,37386.61,27843.72
1133110.3458,-2696.32,24516.97,11301.61,39922.77,37439.3,27876.9
1133110.3478,-2711.82,24541.43,11449.0,39934.35,37496.09,27910.0
1133110.3498,-2715.97,24551.78,11541.51,39936.59,37529.85,27925.07
